;PC Software:StarLab Version 2.10 Build 25
;Logged:23/09/2022 at 16:56:21
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:5.00W
;--------------------


;First Pulse Arrived : 23/09/2022 at 16:56:21.891000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  7.750e-003 	             	
         0.022	             	  5.080e-001 	
         0.064	  7.740e-003 	             	
         0.086	             	  5.080e-001 	
         0.128	  7.730e-003 	             	
         0.150	             	  5.080e-001 	
         0.192	  7.720e-003 	             	
         0.246	             	  5.080e-001 	
         0.256	  7.770e-003 	             	
         0.310	             	  5.080e-001 	
         0.320	  7.760e-003 	             	
         0.374	             	  5.080e-001 	
         0.384	  7.750e-003 	             	
         0.438	             	  5.080e-001 	
         0.448	  7.760e-003 	             	
         0.502	             	  5.080e-001 	
         0.544	  7.740e-003 	             	
         0.566	             	  5.080e-001 	
         0.608	  7.740e-003 	             	
         0.630	             	  5.080e-001 	
         0.672	  7.750e-003 	             	
         0.694	             	  5.080e-001 	
         0.736	  7.740e-003 	             	
         0.758	             	  5.080e-001 	
         0.800	  7.770e-003 	             	
         0.822	             	  5.090e-001 	
         0.864	  7.740e-003 	             	
         0.886	             	  5.080e-001 	
         0.928	  7.740e-003 	             	
         0.950	             	  5.080e-001 	
         0.992	  7.720e-003 	             	
         1.046	             	  5.080e-001 	
         1.056	  7.740e-003 	             	
         1.110	             	  5.080e-001 	
         1.120	  7.710e-003 	             	
         1.174	             	  5.080e-001 	
         1.184	  7.690e-003 	             	
         1.238	             	  5.080e-001 	
         1.248	  7.700e-003 	             	
         1.302	             	  5.080e-001 	
         1.344	  7.710e-003 	             	
         1.366	             	  5.080e-001 	
         1.409	  7.720e-003 	             	
         1.431	             	  5.080e-001 	
         1.472	  7.700e-003 	             	
         1.495	             	  5.080e-001 	
         1.537	  7.700e-003 	             	
         1.559	             	  5.080e-001 	
         1.600	  7.710e-003 	             	
         1.623	             	  5.080e-001 	
         1.664	  7.720e-003 	             	
         1.687	             	  5.080e-001 	
         1.729	  7.710e-003 	             	
         1.751	             	  5.080e-001 	
         1.793	  7.740e-003 	             	
         1.847	             	  5.080e-001 	
         1.856	  7.750e-003 	             	
         1.911	             	  5.080e-001 	
         1.921	  7.720e-003 	             	
         1.975	             	  5.080e-001 	
         1.985	  7.770e-003 	             	
         2.039	             	  5.080e-001 	
         2.049	  7.790e-003 	             	
         2.103	             	  5.080e-001 	
         2.145	  7.760e-003 	             	
         2.167	             	  5.080e-001 	
         2.209	  7.790e-003 	             	
         2.231	             	  5.080e-001 	
         2.273	  7.790e-003 	             	
         2.295	             	  5.080e-001 	
         2.337	  7.800e-003 	             	
         2.359	             	  5.080e-001 	
         2.400	  7.790e-003 	             	
         2.423	             	  5.080e-001 	
         2.465	  7.750e-003 	             	
         2.487	             	  5.080e-001 	
         2.529	  7.790e-003 	             	
         2.551	             	  5.080e-001 	
         2.592	  7.720e-003 	             	
         2.647	             	  5.080e-001 	
         2.656	  7.720e-003 	             	
         2.711	             	  5.080e-001 	
         2.720	  7.690e-003 	             	
         2.775	             	  5.080e-001 	
         2.784	  7.680e-003 	             	
         2.839	             	  5.080e-001 	
         2.849	  7.730e-003 	             	
         2.903	             	  5.080e-001 	
         2.944	  7.710e-003 	             	
         2.967	             	  5.080e-001 	
         3.008	  7.720e-003 	             	
         3.031	             	  5.080e-001 	
         3.072	  7.700e-003 	             	
         3.095	             	  5.080e-001 	
         3.136	  7.740e-003 	             	
         3.159	             	  5.080e-001 	
         3.200	  7.740e-003 	             	
         3.223	             	  5.080e-001 	
         3.264	  7.730e-003 	             	
         3.287	             	  5.080e-001 	
         3.328	  7.770e-003 	             	
         3.351	             	  5.080e-001 	
         3.392	  7.770e-003 	             	
         3.447	             	  5.080e-001 	
         3.456	  7.780e-003 	             	
         3.511	             	  5.080e-001 	
         3.520	  7.800e-003 	             	
         3.575	             	  5.080e-001 	
         3.584	  7.820e-003 	             	
         3.639	             	  5.080e-001 	
         3.648	  7.770e-003 	             	
         3.703	             	  5.080e-001 	
         3.744	  7.820e-003 	             	
         3.767	             	  5.080e-001 	
         3.808	  7.760e-003 	             	
         3.831	             	  5.080e-001 	
         3.872	  7.810e-003 	             	
         3.895	             	  5.080e-001 	
         3.936	  7.820e-003 	             	
         3.959	             	  5.080e-001 	
         4.000	  7.850e-003 	             	
         4.023	             	  5.080e-001 	
         4.064	  7.830e-003 	             	
         4.087	             	  5.080e-001 	
         4.128	  7.810e-003 	             	
         4.151	             	  5.080e-001 	
         4.192	  7.810e-003 	             	
         4.247	             	  5.080e-001 	
         4.256	  7.820e-003 	             	
         4.311	             	  5.080e-001 	
         4.320	  7.820e-003 	             	
         4.375	             	  5.080e-001 	
         4.384	  7.840e-003 	             	
         4.439	             	  5.080e-001 	
         4.448	  7.840e-003 	             	
         4.503	             	  5.080e-001 	
         4.512	  7.820e-003 	             	
         4.567	             	  5.080e-001 	
         4.608	  7.820e-003 	             	
         4.631	             	  5.080e-001 	
         4.672	  7.780e-003 	             	
         4.695	             	  5.080e-001 	
         4.736	  7.800e-003 	             	
         4.759	             	  5.080e-001 	
         4.800	  7.790e-003 	             	
         4.823	             	  5.080e-001 	
         4.864	  7.720e-003 	             	
         4.887	             	  5.080e-001 	
         4.928	  7.760e-003 	             	
         4.951	             	  5.080e-001 	
         4.992	  7.750e-003 	             	
         5.047	             	  5.080e-001 	
         5.056	  7.750e-003 	             	
         5.111	             	  5.080e-001 	
         5.120	  7.740e-003 	             	
         5.175	             	  5.080e-001 	
         5.184	  7.700e-003 	             	
         5.239	             	  5.080e-001 	
         5.248	  7.670e-003 	             	
         5.303	             	  5.080e-001 	
         5.312	  7.700e-003 	             	
