;PC Software:StarLab Version 2.10 Build 25
;Logged:14/09/2022 at 15:27:04
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 14/09/2022 at 15:27:05.156000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  4.309e-001 	
         0.016	  4.140e-003 	             	
         0.064	             	  4.309e-001 	
         0.080	  4.140e-003 	             	
         0.144	  4.160e-003 	             	
         0.160	             	  4.310e-001 	
         0.208	  4.190e-003 	             	
         0.224	             	  4.310e-001 	
         0.272	  4.190e-003 	             	
         0.288	             	  4.310e-001 	
         0.336	  4.180e-003 	             	
         0.352	             	  4.311e-001 	
         0.400	  4.180e-003 	             	
         0.416	             	  4.311e-001 	
         0.480	             	  4.311e-001 	
         0.496	  4.170e-003 	             	
         0.544	             	  4.311e-001 	
         0.560	  4.140e-003 	             	
         0.608	             	  4.311e-001 	
         0.624	  4.110e-003 	             	
         0.672	             	  4.311e-001 	
         0.688	  4.140e-003 	             	
         0.736	             	  4.310e-001 	
         0.752	  4.170e-003 	             	
         0.800	             	  4.309e-001 	
         0.816	  4.180e-003 	             	
         0.864	             	  4.308e-001 	
         0.880	  4.160e-003 	             	
         0.928	             	  4.307e-001 	
         0.944	  4.190e-003 	             	
         1.008	  4.220e-003 	             	
         1.024	             	  4.307e-001 	
         1.072	  4.250e-003 	             	
         1.088	             	  4.306e-001 	
         1.136	  4.230e-003 	             	
         1.152	             	  4.307e-001 	
         1.200	  4.240e-003 	             	
         1.216	             	  4.308e-001 	
         1.280	             	  4.309e-001 	
         1.296	  4.160e-003 	             	
         1.344	             	  4.309e-001 	
         1.360	  4.100e-003 	             	
         1.408	             	  4.309e-001 	
         1.424	  4.120e-003 	             	
         1.472	             	  4.307e-001 	
         1.488	  4.140e-003 	             	
         1.536	             	  4.306e-001 	
         1.552	  4.170e-003 	             	
         1.600	             	  4.305e-001 	
         1.616	  4.170e-003 	             	
         1.664	             	  4.305e-001 	
         1.680	  4.170e-003 	             	
         1.727	             	  4.305e-001 	
         1.744	  4.170e-003 	             	
         1.808	  4.170e-003 	             	
         1.824	             	  4.305e-001 	
         1.872	  4.170e-003 	             	
         1.888	             	  4.305e-001 	
         1.936	  4.160e-003 	             	
         1.952	             	  4.305e-001 	
         2.000	  4.160e-003 	             	
         2.016	             	  4.306e-001 	
         2.080	             	  4.306e-001 	
         2.096	  4.130e-003 	             	
         2.144	             	  4.306e-001 	
         2.160	  4.150e-003 	             	
         2.208	             	  4.305e-001 	
         2.224	  4.190e-003 	             	
         2.271	             	  4.305e-001 	
         2.288	  4.160e-003 	             	
         2.335	             	  4.306e-001 	
         2.352	  4.150e-003 	             	
         2.400	             	  4.306e-001 	
         2.416	  4.190e-003 	             	
         2.464	             	  4.305e-001 	
         2.480	  4.200e-003 	             	
         2.528	             	  4.305e-001 	
         2.543	  4.200e-003 	             	
         2.607	  4.190e-003 	             	
         2.623	             	  4.306e-001 	
         2.672	  4.180e-003 	             	
         2.687	             	  4.306e-001 	
         2.735	  4.170e-003 	             	
         2.752	             	  4.306e-001 	
         2.800	  4.190e-003 	             	
         2.816	             	  4.307e-001 	
         2.880	             	  4.307e-001 	
         2.895	  4.170e-003 	             	
         2.943	             	  4.307e-001 	
         2.960	  4.150e-003 	             	
         3.009	             	  4.307e-001 	
         3.024	  4.160e-003 	             	
         3.073	             	  4.307e-001 	
         3.088	  4.160e-003 	             	
         3.136	             	  4.306e-001 	
         3.152	  4.160e-003 	             	
         3.200	             	  4.304e-001 	
         3.216	  4.170e-003 	             	
         3.264	             	  4.303e-001 	
         3.280	  4.160e-003 	             	
         3.328	             	  4.302e-001 	
         3.344	  4.180e-003 	             	
         3.408	  4.150e-003 	             	
         3.425	             	  4.302e-001 	
         3.472	  4.150e-003 	             	
         3.488	             	  4.303e-001 	
         3.536	  4.160e-003 	             	
         3.552	             	  4.304e-001 	
         3.600	  4.170e-003 	             	
         3.616	             	  4.304e-001 	
         3.680	             	  4.304e-001 	
         3.697	  4.150e-003 	             	
         3.744	             	  4.304e-001 	
         3.760	  4.160e-003 	             	
         3.808	             	  4.304e-001 	
         3.824	  4.210e-003 	             	
         3.872	             	  4.304e-001 	
         3.888	  4.220e-003 	             	
         3.936	             	  4.304e-001 	
         3.952	  4.250e-003 	             	
         4.001	             	  4.303e-001 	
         4.016	  4.180e-003 	             	
         4.064	             	  4.304e-001 	
         4.080	  4.090e-003 	             	
         4.128	             	  4.304e-001 	
         4.144	  4.100e-003 	             	
         4.209	  4.120e-003 	             	
         4.224	             	  4.304e-001 	
         4.272	  4.110e-003 	             	
         4.288	             	  4.303e-001 	
         4.336	  4.130e-003 	             	
         4.352	             	  4.302e-001 	
         4.400	  4.120e-003 	             	
         4.416	             	  4.301e-001 	
         4.464	  4.150e-003 	             	
         4.480	             	  4.301e-001 	
         4.544	             	  4.301e-001 	
         4.560	  4.170e-003 	             	
         4.608	             	  4.301e-001 	
         4.624	  4.150e-003 	             	
         4.672	             	  4.301e-001 	
         4.688	  4.150e-003 	             	
         4.736	             	  4.302e-001 	
         4.752	  4.160e-003 	             	
         4.800	             	  4.303e-001 	
         4.816	  4.140e-003 	             	
         4.864	             	  4.303e-001 	
         4.880	  4.140e-003 	             	
         4.928	             	  4.303e-001 	
         4.944	  4.130e-003 	             	
         5.008	  4.150e-003 	             	
         5.024	             	  4.303e-001 	
         5.072	  4.140e-003 	             	
         5.088	             	  4.302e-001 	
         5.136	  4.110e-003 	             	
         5.152	             	  4.302e-001 	
         5.200	  4.130e-003 	             	
         5.216	             	  4.301e-001 	
         5.264	  4.140e-003 	             	
         5.280	             	  4.300e-001 	
         5.345	             	  4.299e-001 	
         5.360	  4.120e-003 	             	
         5.408	             	  4.299e-001 	
         5.424	  4.120e-003 	             	
         5.472	             	  4.299e-001 	
         5.488	  4.120e-003 	             	
         5.536	             	  4.299e-001 	
         5.552	  4.110e-003 	             	
         5.600	             	  4.299e-001 	
         5.616	  4.120e-003 	             	
         5.664	             	  4.300e-001 	
         5.680	  4.120e-003 	             	
         5.728	             	  4.301e-001 	
         5.744	  4.130e-003 	             	
         5.808	  4.130e-003 	             	
         5.824	             	  4.301e-001 	
         5.872	  4.150e-003 	             	
         5.888	             	  4.302e-001 	
         5.936	  4.130e-003 	             	
         5.952	             	  4.302e-001 	
         6.000	  4.150e-003 	             	
         6.016	             	  4.302e-001 	
         6.064	  4.130e-003 	             	
         6.080	             	  4.301e-001 	
         6.144	             	  4.301e-001 	
         6.160	  4.140e-003 	             	
         6.208	             	  4.301e-001 	
         6.224	  4.160e-003 	             	
         6.272	             	  4.302e-001 	
         6.288	  4.150e-003 	             	
         6.336	             	  4.302e-001 	
         6.352	  4.140e-003 	             	
         6.400	             	  4.302e-001 	
         6.416	  4.160e-003 	             	
         6.464	             	  4.303e-001 	
         6.480	  4.150e-003 	             	
         6.528	             	  4.303e-001 	
         6.544	  4.160e-003 	             	
         6.608	  4.160e-003 	             	
         6.624	             	  4.302e-001 	
         6.672	  4.160e-003 	             	
         6.688	             	  4.302e-001 	
         6.736	  4.150e-003 	             	
         6.752	             	  4.303e-001 	
         6.800	  4.160e-003 	             	
         6.816	             	  4.303e-001 	
         6.864	  4.160e-003 	             	
         6.880	             	  4.303e-001 	
         6.944	             	  4.303e-001 	
         6.960	  4.170e-003 	             	
         7.008	             	  4.303e-001 	
         7.024	  4.150e-003 	             	
         7.072	             	  4.303e-001 	
         7.088	  4.170e-003 	             	
         7.136	             	  4.303e-001 	
         7.152	  4.180e-003 	             	
         7.200	             	  4.303e-001 	
         7.216	  4.160e-003 	             	
         7.264	             	  4.303e-001 	
         7.280	  4.160e-003 	             	
         7.328	             	  4.304e-001 	
         7.344	  4.160e-003 	             	
         7.408	  4.170e-003 	             	
         7.424	             	  4.303e-001 	
         7.472	  4.140e-003 	             	
         7.488	             	  4.303e-001 	
         7.536	  4.150e-003 	             	
         7.552	             	  4.303e-001 	
         7.600	  4.150e-003 	             	
         7.616	             	  4.302e-001 	
         7.664	  4.160e-003 	             	
         7.680	             	  4.301e-001 	
         7.744	             	  4.301e-001 	
         7.760	  4.170e-003 	             	
         7.808	             	  4.300e-001 	
         7.824	  4.170e-003 	             	
         7.872	             	  4.300e-001 	
         7.888	  4.170e-003 	             	
         7.936	             	  4.299e-001 	
         7.952	  4.180e-003 	             	
         8.000	             	  4.298e-001 	
         8.016	  4.170e-003 	             	
         8.064	             	  4.298e-001 	
         8.080	  4.190e-003 	             	
         8.128	             	  4.297e-001 	
         8.144	  4.180e-003 	             	
         8.208	  4.180e-003 	             	
         8.224	             	  4.297e-001 	
         8.272	  4.170e-003 	             	
         8.288	             	  4.298e-001 	
         8.336	  4.170e-003 	             	
         8.352	             	  4.298e-001 	
         8.400	  4.160e-003 	             	
         8.416	             	  4.298e-001 	
         8.464	  4.170e-003 	             	
         8.480	             	  4.299e-001 	
         8.544	             	  4.300e-001 	
         8.560	  4.160e-003 	             	
         8.608	             	  4.299e-001 	
         8.624	  4.160e-003 	             	
         8.672	             	  4.299e-001 	
         8.688	  4.140e-003 	             	
         8.736	             	  4.299e-001 	
         8.752	  4.160e-003 	             	
         8.800	             	  4.299e-001 	
         8.816	  4.140e-003 	             	
         8.864	             	  4.300e-001 	
         8.880	  4.150e-003 	             	
         8.928	             	  4.300e-001 	
         8.944	  4.170e-003 	             	
         9.008	  4.160e-003 	             	
         9.024	             	  4.299e-001 	
         9.072	  4.160e-003 	             	
         9.088	             	  4.299e-001 	
         9.136	  4.150e-003 	             	
         9.152	             	  4.299e-001 	
         9.200	  4.130e-003 	             	
         9.216	             	  4.299e-001 	
         9.264	  4.150e-003 	             	
         9.280	             	  4.299e-001 	
         9.344	             	  4.300e-001 	
         9.360	  4.190e-003 	             	
         9.408	             	  4.301e-001 	
         9.424	  4.180e-003 	             	
         9.472	             	  4.301e-001 	
         9.488	  4.170e-003 	             	
         9.536	             	  4.301e-001 	
         9.552	  4.160e-003 	             	
         9.600	             	  4.301e-001 	
         9.616	  4.160e-003 	             	
         9.664	             	  4.301e-001 	
         9.680	  4.180e-003 	             	
         9.728	             	  4.301e-001 	
         9.744	  4.190e-003 	             	
         9.808	  4.180e-003 	             	
         9.824	             	  4.301e-001 	
         9.872	  4.200e-003 	             	
         9.888	             	  4.301e-001 	
         9.936	  4.180e-003 	             	
         9.952	             	  4.302e-001 	
        10.000	  4.160e-003 	             	
        10.016	             	  4.302e-001 	
        10.064	  4.190e-003 	             	
        10.080	             	  4.302e-001 	
        10.144	             	  4.302e-001 	
        10.160	  4.200e-003 	             	
        10.208	             	  4.302e-001 	
        10.224	  4.200e-003 	             	
        10.272	             	  4.302e-001 	
        10.288	  4.190e-003 	             	
        10.336	             	  4.303e-001 	
        10.352	  4.200e-003 	             	
        10.400	             	  4.303e-001 	
        10.416	  4.200e-003 	             	
        10.464	             	  4.303e-001 	
        10.480	  4.190e-003 	             	
        10.528	             	  4.303e-001 	
        10.544	  4.190e-003 	             	
        10.608	  4.170e-003 	             	
        10.624	             	  4.302e-001 	
