;PC Software:StarLab Version 2.10 Build 25
;Logged:20/09/2022 at 15:38:19
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 20/09/2022 at 15:38:19.416000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  5.480e-003 	             	
         0.034	             	  4.610e-001 	
         0.064	  5.510e-003 	             	
         0.099	             	  4.610e-001 	
         0.128	  5.530e-003 	             	
         0.162	             	  4.609e-001 	
         0.224	  5.490e-003 	             	
         0.226	             	  4.609e-001 	
         0.288	  5.510e-003 	             	
         0.290	             	  4.609e-001 	
         0.352	  5.560e-003 	             	
         0.386	             	  4.609e-001 	
         0.416	  5.580e-003 	             	
         0.450	             	  4.609e-001 	
         0.480	  5.560e-003 	             	
         0.514	             	  4.610e-001 	
         0.544	  5.550e-003 	             	
         0.578	             	  4.611e-001 	
         0.608	  5.540e-003 	             	
         0.642	             	  4.611e-001 	
         0.672	  5.590e-003 	             	
         0.706	             	  4.612e-001 	
         0.736	  5.550e-003 	             	
         0.770	             	  4.613e-001 	
         0.800	  5.490e-003 	             	
         0.834	             	  4.613e-001 	
         0.864	  5.470e-003 	             	
         0.898	             	  4.613e-001 	
         0.927	  5.460e-003 	             	
         0.962	             	  4.612e-001 	
         0.992	  5.580e-003 	             	
         1.026	             	  4.611e-001 	
         1.088	  5.650e-003 	             	
         1.090	             	  4.609e-001 	
         1.152	  5.660e-003 	             	
         1.186	             	  4.609e-001 	
         1.216	  5.580e-003 	             	
         1.250	             	  4.610e-001 	
         1.280	  5.540e-003 	             	
         1.314	             	  4.610e-001 	
         1.344	  5.510e-003 	             	
         1.378	             	  4.610e-001 	
         1.408	  5.520e-003 	             	
         1.442	             	  4.610e-001 	
         1.472	  5.480e-003 	             	
         1.506	             	  4.609e-001 	
         1.536	  5.500e-003 	             	
         1.570	             	  4.608e-001 	
         1.600	  5.560e-003 	             	
         1.634	             	  4.608e-001 	
         1.664	  5.530e-003 	             	
         1.698	             	  4.607e-001 	
         1.728	  5.530e-003 	             	
         1.762	             	  4.607e-001 	
         1.792	  5.540e-003 	             	
         1.826	             	  4.607e-001 	
         1.887	  5.550e-003 	             	
         1.890	             	  4.608e-001 	
         1.951	  5.560e-003 	             	
         1.986	             	  4.609e-001 	
         2.016	  5.540e-003 	             	
         2.050	             	  4.609e-001 	
         2.079	  5.540e-003 	             	
         2.114	             	  4.608e-001 	
         2.143	  5.560e-003 	             	
         2.178	             	  4.609e-001 	
         2.208	  5.590e-003 	             	
         2.242	             	  4.610e-001 	
         2.271	  5.530e-003 	             	
         2.307	             	  4.611e-001 	
         2.335	  5.530e-003 	             	
         2.370	             	  4.612e-001 	
         2.399	  5.530e-003 	             	
         2.434	             	  4.613e-001 	
         2.463	  5.530e-003 	             	
         2.498	             	  4.613e-001 	
         2.528	  5.550e-003 	             	
         2.562	             	  4.613e-001 	
         2.591	  5.550e-003 	             	
         2.626	             	  4.612e-001 	
         2.687	  5.540e-003 	             	
         2.690	             	  4.612e-001 	
         2.751	  5.530e-003 	             	
         2.786	             	  4.612e-001 	
         2.815	  5.550e-003 	             	
         2.850	             	  4.612e-001 	
         2.879	  5.500e-003 	             	
         2.914	             	  4.612e-001 	
         2.943	  5.520e-003 	             	
         2.978	             	  4.613e-001 	
         3.007	  5.570e-003 	             	
         3.042	             	  4.613e-001 	
         3.071	  5.550e-003 	             	
         3.106	             	  4.613e-001 	
         3.135	  5.560e-003 	             	
         3.170	             	  4.613e-001 	
         3.199	  5.530e-003 	             	
         3.234	             	  4.613e-001 	
         3.263	  5.550e-003 	             	
         3.298	             	  4.613e-001 	
         3.327	  5.520e-003 	             	
         3.362	             	  4.613e-001 	
         3.391	  5.500e-003 	             	
         3.426	             	  4.613e-001 	
         3.487	  5.510e-003 	             	
         3.490	             	  4.612e-001 	
         3.551	  5.540e-003 	             	
         3.586	             	  4.610e-001 	
         3.615	  5.540e-003 	             	
         3.650	             	  4.610e-001 	
         3.679	  5.590e-003 	             	
         3.714	             	  4.609e-001 	
         3.743	  5.520e-003 	             	
         3.778	             	  4.609e-001 	
         3.807	  5.520e-003 	             	
         3.842	             	  4.610e-001 	
         3.871	  5.520e-003 	             	
         3.906	             	  4.610e-001 	
         3.935	  5.560e-003 	             	
         3.970	             	  4.610e-001 	
         3.999	  5.540e-003 	             	
         4.034	             	  4.611e-001 	
         4.063	  5.560e-003 	             	
         4.098	             	  4.611e-001 	
         4.127	  5.540e-003 	             	
         4.162	             	  4.610e-001 	
         4.191	  5.550e-003 	             	
         4.226	             	  4.610e-001 	
         4.287	  5.550e-003 	             	
         4.290	             	  4.610e-001 	
         4.351	  5.540e-003 	             	
         4.386	             	  4.610e-001 	
         4.415	  5.540e-003 	             	
         4.450	             	  4.610e-001 	
         4.479	  5.540e-003 	             	
         4.514	             	  4.610e-001 	
         4.543	  5.510e-003 	             	
         4.578	             	  4.610e-001 	
         4.607	  5.520e-003 	             	
         4.642	             	  4.610e-001 	
         4.671	  5.520e-003 	             	
         4.706	             	  4.610e-001 	
         4.735	  5.530e-003 	             	
         4.770	             	  4.610e-001 	
         4.799	  5.550e-003 	             	
         4.834	             	  4.609e-001 	
         4.863	  5.530e-003 	             	
         4.898	             	  4.609e-001 	
         4.927	  5.540e-003 	             	
         4.962	             	  4.610e-001 	
         4.991	  5.550e-003 	             	
         5.026	             	  4.611e-001 	
         5.087	  5.540e-003 	             	
         5.090	             	  4.611e-001 	
         5.151	  5.550e-003 	             	
         5.186	             	  4.611e-001 	
         5.215	  5.520e-003 	             	
         5.250	             	  4.611e-001 	
         5.279	  5.520e-003 	             	
         5.314	             	  4.611e-001 	
         5.343	  5.550e-003 	             	
         5.378	             	  4.611e-001 	
         5.407	  5.540e-003 	             	
         5.442	             	  4.611e-001 	
         5.471	  5.540e-003 	             	
         5.506	             	  4.611e-001 	
         5.535	  5.520e-003 	             	
         5.570	             	  4.611e-001 	
         5.599	  5.520e-003 	             	
         5.634	             	  4.611e-001 	
         5.663	  5.550e-003 	             	
         5.698	             	  4.612e-001 	
         5.727	  5.480e-003 	             	
         5.763	             	  4.612e-001 	
         5.792	  5.590e-003 	             	
         5.827	             	  4.612e-001 	
         5.888	  5.550e-003 	             	
         5.891	             	  4.612e-001 	
         5.952	  5.540e-003 	             	
         5.987	             	  4.611e-001 	
         6.016	  5.570e-003 	             	
         6.051	             	  4.611e-001 	
         6.080	  5.560e-003 	             	
         6.115	             	  4.612e-001 	
         6.144	  5.520e-003 	             	
         6.179	             	  4.613e-001 	
         6.208	  5.540e-003 	             	
         6.243	             	  4.613e-001 	
         6.272	  5.520e-003 	             	
         6.307	             	  4.613e-001 	
         6.336	  5.540e-003 	             	
         6.371	             	  4.613e-001 	
         6.400	  5.520e-003 	             	
         6.435	             	  4.613e-001 	
         6.464	  5.570e-003 	             	
         6.499	             	  4.613e-001 	
         6.528	  5.530e-003 	             	
         6.563	             	  4.613e-001 	
         6.592	  5.540e-003 	             	
         6.627	             	  4.614e-001 	
         6.688	  5.530e-003 	             	
         6.691	             	  4.615e-001 	
         6.752	  5.560e-003 	             	
         6.787	             	  4.615e-001 	
         6.816	  5.570e-003 	             	
         6.851	             	  4.615e-001 	
         6.880	  5.530e-003 	             	
         6.915	             	  4.616e-001 	
         6.944	  5.540e-003 	             	
         6.979	             	  4.615e-001 	
         7.008	  5.540e-003 	             	
         7.043	             	  4.615e-001 	
         7.072	  5.520e-003 	             	
         7.107	             	  4.614e-001 	
         7.136	  5.570e-003 	             	
         7.171	             	  4.613e-001 	
         7.200	  5.530e-003 	             	
         7.235	             	  4.612e-001 	
         7.264	  5.540e-003 	             	
         7.299	             	  4.612e-001 	
