;PC Software:StarLab Version 2.10 Build 25
;Logged:22/09/2022 at 16:17:06
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 22/09/2022 at 16:17:06.913000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  2.919e-001 	
         0.007	  2.802e-002 	             	
         0.064	             	  2.920e-001 	
         0.071	  2.798e-002 	             	
         0.128	             	  2.919e-001 	
         0.135	  2.803e-002 	             	
         0.192	             	  2.919e-001 	
         0.199	  2.792e-002 	             	
         0.256	             	  2.918e-001 	
         0.263	  2.786e-002 	             	
         0.320	             	  2.918e-001 	
         0.327	  2.788e-002 	             	
         0.384	             	  2.917e-001 	
         0.391	  2.781e-002 	             	
         0.448	             	  2.917e-001 	
         0.455	  2.786e-002 	             	
         0.512	             	  2.918e-001 	
         0.519	  2.797e-002 	             	
         0.583	  2.797e-002 	             	
         0.608	             	  2.918e-001 	
         0.647	  2.785e-002 	             	
         0.672	             	  2.918e-001 	
         0.711	  2.802e-002 	             	
         0.736	             	  2.918e-001 	
         0.800	             	  2.919e-001 	
         0.807	  2.801e-002 	             	
         0.864	             	  2.919e-001 	
         0.871	  2.797e-002 	             	
         0.928	             	  2.919e-001 	
         0.935	  2.808e-002 	             	
         0.992	             	  2.919e-001 	
         0.999	  2.818e-002 	             	
         1.056	             	  2.919e-001 	
         1.063	  2.817e-002 	             	
         1.120	             	  2.919e-001 	
         1.127	  2.816e-002 	             	
         1.184	             	  2.919e-001 	
         1.191	  2.808e-002 	             	
         1.248	             	  2.919e-001 	
         1.255	  2.809e-002 	             	
         1.312	             	  2.919e-001 	
         1.319	  2.799e-002 	             	
         1.383	  2.821e-002 	             	
         1.408	             	  2.919e-001 	
         1.447	  2.831e-002 	             	
         1.472	             	  2.919e-001 	
         1.511	  2.807e-002 	             	
         1.536	             	  2.918e-001 	
         1.600	             	  2.919e-001 	
         1.607	  2.796e-002 	             	
         1.664	             	  2.919e-001 	
         1.671	  2.811e-002 	             	
         1.728	             	  2.918e-001 	
         1.735	  2.808e-002 	             	
         1.792	             	  2.918e-001 	
         1.799	  2.783e-002 	             	
         1.856	             	  2.917e-001 	
         1.863	  2.778e-002 	             	
         1.920	             	  2.917e-001 	
         1.927	  2.769e-002 	             	
         1.984	             	  2.917e-001 	
         1.991	  2.759e-002 	             	
         2.048	             	  2.917e-001 	
         2.055	  2.742e-002 	             	
         2.112	             	  2.917e-001 	
         2.119	  2.756e-002 	             	
         2.183	  2.759e-002 	             	
         2.208	             	  2.917e-001 	
         2.247	  2.754e-002 	             	
         2.272	             	  2.917e-001 	
         2.311	  2.736e-002 	             	
         2.336	             	  2.916e-001 	
         2.400	             	  2.916e-001 	
         2.407	  2.732e-002 	             	
         2.464	             	  2.916e-001 	
         2.471	  2.701e-002 	             	
         2.528	             	  2.915e-001 	
         2.535	  2.714e-002 	             	
         2.592	             	  2.916e-001 	
         2.599	  2.722e-002 	             	
         2.656	             	  2.915e-001 	
         2.663	  2.708e-002 	             	
         2.720	             	  2.915e-001 	
         2.727	  2.706e-002 	             	
         2.784	             	  2.914e-001 	
         2.791	  2.715e-002 	             	
         2.848	             	  2.914e-001 	
         2.855	  2.694e-002 	             	
         2.912	             	  2.915e-001 	
         2.919	  2.723e-002 	             	
         2.983	  2.706e-002 	             	
         3.008	             	  2.915e-001 	
         3.047	  2.703e-002 	             	
         3.072	             	  2.916e-001 	
         3.111	  2.715e-002 	             	
         3.136	             	  2.917e-001 	
         3.200	             	  2.917e-001 	
         3.207	  2.717e-002 	             	
         3.264	             	  2.917e-001 	
         3.271	  2.685e-002 	             	
         3.328	             	  2.917e-001 	
         3.335	  2.714e-002 	             	
         3.392	             	  2.917e-001 	
         3.399	  2.693e-002 	             	
         3.456	             	  2.917e-001 	
         3.463	  2.706e-002 	             	
         3.520	             	  2.918e-001 	
         3.527	  2.720e-002 	             	
         3.584	             	  2.918e-001 	
         3.591	  2.705e-002 	             	
         3.648	             	  2.918e-001 	
         3.655	  2.713e-002 	             	
         3.712	             	  2.918e-001 	
         3.719	  2.709e-002 	             	
         3.783	  2.713e-002 	             	
         3.808	             	  2.918e-001 	
         3.847	  2.713e-002 	             	
         3.872	             	  2.918e-001 	
         3.911	  2.735e-002 	             	
         3.936	             	  2.918e-001 	
         4.000	             	  2.918e-001 	
         4.007	  2.742e-002 	             	
         4.064	             	  2.919e-001 	
         4.071	  2.719e-002 	             	
         4.128	             	  2.920e-001 	
         4.135	  2.704e-002 	             	
         4.192	             	  2.920e-001 	
         4.199	  2.700e-002 	             	
         4.256	             	  2.920e-001 	
         4.263	  2.698e-002 	             	
         4.320	             	  2.920e-001 	
         4.327	  2.695e-002 	             	
         4.384	             	  2.920e-001 	
         4.391	  2.699e-002 	             	
         4.448	             	  2.919e-001 	
         4.455	  2.703e-002 	             	
         4.512	             	  2.918e-001 	
         4.519	  2.709e-002 	             	
         4.576	             	  2.916e-001 	
         4.583	  2.717e-002 	             	
         4.647	  2.704e-002 	             	
         4.672	             	  2.916e-001 	
         4.711	  2.701e-002 	             	
         4.736	             	  2.916e-001 	
         4.800	             	  2.917e-001 	
         4.807	  2.700e-002 	             	
         4.864	             	  2.917e-001 	
         4.871	  2.693e-002 	             	
         4.928	             	  2.917e-001 	
         4.935	  2.702e-002 	             	
         4.992	             	  2.918e-001 	
         4.999	  2.694e-002 	             	
         5.056	             	  2.918e-001 	
         5.063	  2.691e-002 	             	
         5.120	             	  2.919e-001 	
         5.127	  2.699e-002 	             	
         5.184	             	  2.919e-001 	
         5.191	  2.708e-002 	             	
         5.248	             	  2.918e-001 	
         5.255	  2.700e-002 	             	
         5.312	             	  2.917e-001 	
         5.319	  2.709e-002 	             	
         5.376	             	  2.917e-001 	
         5.383	  2.703e-002 	             	
         5.447	  2.714e-002 	             	
         5.472	             	  2.917e-001 	
         5.511	  2.707e-002 	             	
         5.536	             	  2.918e-001 	
         5.575	  2.715e-002 	             	
         5.600	             	  2.919e-001 	
         5.664	             	  2.919e-001 	
         5.671	  2.694e-002 	             	
         5.728	             	  2.920e-001 	
         5.735	  2.730e-002 	             	
         5.792	             	  2.920e-001 	
         5.799	  2.715e-002 	             	
         5.856	             	  2.920e-001 	
         5.863	  2.720e-002 	             	
         5.920	             	  2.920e-001 	
         5.927	  2.706e-002 	             	
         5.984	             	  2.919e-001 	
         5.991	  2.713e-002 	             	
         6.048	             	  2.919e-001 	
         6.055	  2.700e-002 	             	
         6.112	             	  2.919e-001 	
         6.119	  2.719e-002 	             	
         6.176	             	  2.919e-001 	
         6.183	  2.703e-002 	             	
         6.247	  2.733e-002 	             	
         6.272	             	  2.919e-001 	
         6.311	  2.747e-002 	             	
         6.336	             	  2.919e-001 	
         6.375	  2.739e-002 	             	
         6.400	             	  2.920e-001 	
         6.464	             	  2.921e-001 	
         6.471	  2.743e-002 	             	
         6.528	             	  2.922e-001 	
         6.535	  2.735e-002 	             	
         6.592	             	  2.922e-001 	
         6.599	  2.733e-002 	             	
         6.656	             	  2.921e-001 	
         6.663	  2.726e-002 	             	
         6.720	             	  2.920e-001 	
         6.727	  2.722e-002 	             	
         6.784	             	  2.919e-001 	
         6.791	  2.722e-002 	             	
         6.848	             	  2.918e-001 	
         6.855	  2.717e-002 	             	
         6.912	             	  2.917e-001 	
         6.919	  2.735e-002 	             	
         6.976	             	  2.916e-001 	
         6.983	  2.736e-002 	             	
         7.047	  2.708e-002 	             	
         7.072	             	  2.916e-001 	
         7.111	  2.712e-002 	             	
         7.135	             	  2.917e-001 	
         7.175	  2.715e-002 	             	
         7.199	             	  2.917e-001 	
         7.264	             	  2.918e-001 	
         7.271	  2.748e-002 	             	
         7.328	             	  2.919e-001 	
         7.335	  2.729e-002 	             	
         7.392	             	  2.920e-001 	
         7.399	  2.732e-002 	             	
         7.456	             	  2.921e-001 	
         7.463	  2.723e-002 	             	
         7.520	             	  2.922e-001 	
         7.527	  2.714e-002 	             	
         7.583	             	  2.922e-001 	
         7.591	  2.695e-002 	             	
