;PC Software:StarLab Version 2.10 Build 25
;Logged:22/09/2022 at 16:13:23
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 22/09/2022 at 16:13:24.009000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  2.075e-002 	             	
         0.024	             	  3.790e-001 	
         0.064	  2.068e-002 	             	
         0.088	             	  3.789e-001 	
         0.128	  2.066e-002 	             	
         0.152	             	  3.789e-001 	
         0.216	             	  3.789e-001 	
         0.224	  2.049e-002 	             	
         0.280	             	  3.788e-001 	
         0.288	  2.053e-002 	             	
         0.345	             	  3.788e-001 	
         0.352	  2.021e-002 	             	
         0.408	             	  3.788e-001 	
         0.416	  2.035e-002 	             	
         0.472	             	  3.788e-001 	
         0.480	  2.028e-002 	             	
         0.536	             	  3.788e-001 	
         0.544	  2.023e-002 	             	
         0.600	             	  3.787e-001 	
         0.608	  2.024e-002 	             	
         0.664	             	  3.786e-001 	
         0.672	  2.012e-002 	             	
         0.728	             	  3.786e-001 	
         0.736	  1.996e-002 	             	
         0.800	  1.998e-002 	             	
         0.824	             	  3.785e-001 	
         0.863	  2.010e-002 	             	
         0.888	             	  3.785e-001 	
         0.928	  2.009e-002 	             	
         0.952	             	  3.785e-001 	
         1.016	             	  3.785e-001 	
         1.024	  2.022e-002 	             	
         1.080	             	  3.784e-001 	
         1.088	  2.032e-002 	             	
         1.144	             	  3.785e-001 	
         1.152	  1.992e-002 	             	
         1.208	             	  3.785e-001 	
         1.216	  2.021e-002 	             	
         1.272	             	  3.785e-001 	
         1.280	  2.027e-002 	             	
         1.336	             	  3.784e-001 	
         1.344	  2.012e-002 	             	
         1.400	             	  3.784e-001 	
         1.407	  2.005e-002 	             	
         1.464	             	  3.784e-001 	
         1.472	  2.014e-002 	             	
         1.528	             	  3.785e-001 	
         1.536	  2.020e-002 	             	
         1.599	  2.015e-002 	             	
         1.624	             	  3.785e-001 	
         1.664	  2.009e-002 	             	
         1.688	             	  3.785e-001 	
         1.727	  2.023e-002 	             	
         1.752	             	  3.785e-001 	
         1.791	  2.014e-002 	             	
         1.816	             	  3.784e-001 	
         1.880	             	  3.783e-001 	
         1.887	  2.038e-002 	             	
         1.944	             	  3.783e-001 	
         1.951	  2.018e-002 	             	
         2.008	             	  3.783e-001 	
         2.016	  2.025e-002 	             	
         2.072	             	  3.783e-001 	
         2.079	  2.024e-002 	             	
         2.136	             	  3.782e-001 	
         2.143	  2.030e-002 	             	
         2.200	             	  3.781e-001 	
         2.208	  2.031e-002 	             	
         2.264	             	  3.782e-001 	
         2.271	  2.032e-002 	             	
         2.328	             	  3.782e-001 	
         2.335	  2.017e-002 	             	
         2.399	  2.020e-002 	             	
         2.424	             	  3.783e-001 	
         2.464	  2.036e-002 	             	
         2.488	             	  3.782e-001 	
         2.527	  2.016e-002 	             	
         2.552	             	  3.781e-001 	
         2.616	             	  3.780e-001 	
         2.623	  2.023e-002 	             	
         2.680	             	  3.780e-001 	
         2.687	  1.998e-002 	             	
         2.744	             	  3.779e-001 	
         2.751	  2.006e-002 	             	
         2.808	             	  3.779e-001 	
         2.815	  2.021e-002 	             	
         2.872	             	  3.778e-001 	
         2.879	  2.009e-002 	             	
         2.936	             	  3.778e-001 	
         2.943	  2.024e-002 	             	
         3.000	             	  3.777e-001 	
         3.007	  2.030e-002 	             	
         3.064	             	  3.777e-001 	
         3.071	  2.017e-002 	             	
         3.128	             	  3.778e-001 	
         3.135	  1.976e-002 	             	
         3.199	  2.026e-002 	             	
         3.224	             	  3.777e-001 	
         3.263	  2.031e-002 	             	
         3.288	             	  3.777e-001 	
         3.327	  2.017e-002 	             	
         3.352	             	  3.777e-001 	
         3.391	  2.028e-002 	             	
         3.416	             	  3.777e-001 	
         3.480	             	  3.778e-001 	
         3.487	  2.016e-002 	             	
         3.544	             	  3.778e-001 	
         3.551	  2.028e-002 	             	
         3.608	             	  3.779e-001 	
         3.615	  2.020e-002 	             	
         3.672	             	  3.779e-001 	
         3.679	  2.018e-002 	             	
         3.736	             	  3.779e-001 	
         3.743	  2.021e-002 	             	
         3.800	             	  3.780e-001 	
         3.807	  2.018e-002 	             	
         3.864	             	  3.780e-001 	
         3.871	  2.014e-002 	             	
         3.928	             	  3.780e-001 	
         3.935	  2.019e-002 	             	
         3.999	  2.025e-002 	             	
         4.024	             	  3.779e-001 	
         4.063	  2.024e-002 	             	
         4.088	             	  3.778e-001 	
         4.127	  2.015e-002 	             	
         4.152	             	  3.778e-001 	
         4.191	  2.006e-002 	             	
         4.216	             	  3.777e-001 	
         4.280	             	  3.777e-001 	
         4.287	  2.015e-002 	             	
         4.344	             	  3.777e-001 	
         4.351	  2.027e-002 	             	
         4.408	             	  3.776e-001 	
         4.415	  2.022e-002 	             	
         4.472	             	  3.775e-001 	
         4.479	  2.022e-002 	             	
         4.536	             	  3.775e-001 	
         4.543	  2.013e-002 	             	
         4.600	             	  3.774e-001 	
         4.607	  2.011e-002 	             	
         4.664	             	  3.774e-001 	
         4.671	  2.013e-002 	             	
         4.728	             	  3.774e-001 	
         4.735	  2.017e-002 	             	
         4.800	  2.018e-002 	             	
         4.824	             	  3.774e-001 	
         4.863	  2.018e-002 	             	
         4.888	             	  3.773e-001 	
         4.927	  2.024e-002 	             	
         4.952	             	  3.774e-001 	
         4.991	  2.019e-002 	             	
         5.016	             	  3.775e-001 	
         5.080	             	  3.775e-001 	
         5.087	  2.018e-002 	             	
         5.144	             	  3.775e-001 	
         5.152	  2.029e-002 	             	
         5.208	             	  3.775e-001 	
         5.215	  2.025e-002 	             	
         5.272	             	  3.774e-001 	
         5.279	  2.018e-002 	             	
         5.336	             	  3.774e-001 	
         5.343	  2.016e-002 	             	
         5.400	             	  3.774e-001 	
         5.407	  2.024e-002 	             	
         5.464	             	  3.773e-001 	
         5.471	  1.996e-002 	             	
         5.528	             	  3.773e-001 	
         5.535	  2.016e-002 	             	
         5.599	  2.007e-002 	             	
         5.624	             	  3.773e-001 	
         5.663	  1.980e-002 	             	
         5.688	             	  3.773e-001 	
         5.727	  2.018e-002 	             	
         5.752	             	  3.773e-001 	
         5.791	  2.002e-002 	             	
         5.816	             	  3.773e-001 	
         5.880	             	  3.772e-001 	
         5.887	  2.015e-002 	             	
         5.944	             	  3.771e-001 	
         5.951	  2.028e-002 	             	
         6.008	             	  3.771e-001 	
         6.015	  1.984e-002 	             	
         6.072	             	  3.772e-001 	
         6.079	  2.021e-002 	             	
         6.136	             	  3.772e-001 	
         6.143	  2.000e-002 	             	
         6.200	             	  3.773e-001 	
         6.207	  2.000e-002 	             	
         6.264	             	  3.773e-001 	
         6.271	  2.008e-002 	             	
         6.328	             	  3.773e-001 	
         6.335	  2.015e-002 	             	
         6.399	  2.018e-002 	             	
         6.424	             	  3.773e-001 	
         6.463	  2.013e-002 	             	
         6.488	             	  3.773e-001 	
         6.527	  2.000e-002 	             	
         6.552	             	  3.772e-001 	
         6.591	  2.010e-002 	             	
         6.616	             	  3.773e-001 	
         6.680	             	  3.773e-001 	
         6.687	  2.022e-002 	             	
         6.744	             	  3.773e-001 	
         6.751	  2.018e-002 	             	
         6.808	             	  3.774e-001 	
         6.815	  2.027e-002 	             	
         6.872	             	  3.775e-001 	
         6.879	  2.030e-002 	             	
         6.936	             	  3.776e-001 	
         6.943	  2.031e-002 	             	
         7.000	             	  3.777e-001 	
         7.007	  2.027e-002 	             	
         7.064	             	  3.777e-001 	
         7.071	  2.029e-002 	             	
         7.128	             	  3.778e-001 	
         7.135	  2.019e-002 	             	
         7.199	  2.021e-002 	             	
         7.224	             	  3.778e-001 	
         7.263	  2.023e-002 	             	
         7.288	             	  3.778e-001 	
         7.327	  2.032e-002 	             	
         7.352	             	  3.777e-001 	
         7.391	  2.052e-002 	             	
         7.416	             	  3.776e-001 	
         7.480	             	  3.775e-001 	
         7.487	  2.052e-002 	             	
         7.544	             	  3.775e-001 	
         7.551	  2.036e-002 	             	
         7.608	             	  3.775e-001 	
         7.615	  2.043e-002 	             	
         7.672	             	  3.776e-001 	
         7.679	  2.043e-002 	             	
         7.736	             	  3.776e-001 	
         7.743	  2.033e-002 	             	
         7.800	             	  3.776e-001 	
         7.807	  2.038e-002 	             	
         7.864	             	  3.777e-001 	
         7.871	  2.061e-002 	             	
         7.928	             	  3.777e-001 	
         7.935	  2.033e-002 	             	
         7.999	  2.038e-002 	             	
         8.024	             	  3.778e-001 	
         8.063	  2.024e-002 	             	
         8.088	             	  3.778e-001 	
         8.127	  2.020e-002 	             	
         8.152	             	  3.777e-001 	
         8.191	  2.031e-002 	             	
         8.216	             	  3.777e-001 	
         8.280	             	  3.775e-001 	
         8.287	  2.030e-002 	             	
         8.344	             	  3.774e-001 	
         8.351	  2.040e-002 	             	
         8.408	             	  3.774e-001 	
         8.415	  2.037e-002 	             	
         8.472	             	  3.774e-001 	
         8.479	  2.040e-002 	             	
         8.536	             	  3.775e-001 	
         8.543	  2.024e-002 	             	
         8.600	             	  3.776e-001 	
         8.607	  2.042e-002 	             	
         8.664	             	  3.778e-001 	
         8.671	  2.021e-002 	             	
         8.728	             	  3.779e-001 	
         8.735	  2.043e-002 	             	
         8.799	  2.030e-002 	             	
         8.824	             	  3.779e-001 	
         8.863	  2.036e-002 	             	
         8.888	             	  3.779e-001 	
         8.927	  2.023e-002 	             	
         8.952	             	  3.779e-001 	
         8.991	  2.038e-002 	             	
         9.016	             	  3.778e-001 	
         9.080	             	  3.778e-001 	
         9.087	  2.027e-002 	             	
         9.144	             	  3.778e-001 	
         9.151	  2.037e-002 	             	
         9.208	             	  3.778e-001 	
         9.215	  2.012e-002 	             	
         9.272	             	  3.778e-001 	
         9.279	  2.027e-002 	             	
         9.336	             	  3.777e-001 	
         9.343	  2.020e-002 	             	
         9.400	             	  3.778e-001 	
         9.407	  2.024e-002 	             	
         9.464	             	  3.777e-001 	
         9.471	  2.010e-002 	             	
         9.528	             	  3.778e-001 	
         9.535	  2.005e-002 	             	
         9.592	             	  3.778e-001 	
         9.599	  2.010e-002 	             	
         9.663	  2.010e-002 	             	
         9.688	             	  3.777e-001 	
         9.727	  2.004e-002 	             	
         9.752	             	  3.777e-001 	
         9.791	  2.007e-002 	             	
         9.816	             	  3.776e-001 	
         9.880	             	  3.775e-001 	
         9.887	  2.019e-002 	             	
         9.944	             	  3.775e-001 	
         9.951	  2.006e-002 	             	
        10.008	             	  3.775e-001 	
        10.015	  2.005e-002 	             	
        10.072	             	  3.775e-001 	
        10.079	  2.014e-002 	             	
        10.136	             	  3.776e-001 	
        10.143	  2.017e-002 	             	
        10.200	             	  3.777e-001 	
        10.207	  2.010e-002 	             	
        10.264	             	  3.777e-001 	
        10.271	  2.011e-002 	             	
        10.328	             	  3.777e-001 	
        10.335	  1.995e-002 	             	
        10.392	             	  3.777e-001 	
        10.399	  2.005e-002 	             	
        10.463	  2.009e-002 	             	
        10.488	             	  3.776e-001 	
        10.527	  1.995e-002 	             	
        10.552	             	  3.777e-001 	
        10.591	  1.999e-002 	             	
        10.616	             	  3.777e-001 	
        10.680	             	  3.776e-001 	
        10.687	  2.013e-002 	             	
        10.744	             	  3.776e-001 	
        10.751	  2.012e-002 	             	
        10.808	             	  3.775e-001 	
        10.815	  2.009e-002 	             	
        10.872	             	  3.776e-001 	
        10.879	  2.009e-002 	             	
        10.936	             	  3.776e-001 	
        10.943	  1.989e-002 	             	
        11.000	             	  3.776e-001 	
        11.007	  1.992e-002 	             	
        11.064	             	  3.776e-001 	
        11.071	  2.015e-002 	             	
        11.128	             	  3.775e-001 	
        11.135	  2.020e-002 	             	
        11.192	             	  3.775e-001 	
        11.199	  2.002e-002 	             	
        11.263	  1.987e-002 	             	
        11.288	             	  3.775e-001 	
        11.327	  2.016e-002 	             	
        11.352	             	  3.774e-001 	
        11.391	  2.013e-002 	             	
        11.416	             	  3.773e-001 	
        11.480	             	  3.773e-001 	
        11.487	  2.019e-002 	             	
        11.544	             	  3.773e-001 	
        11.551	  2.029e-002 	             	
        11.608	             	  3.774e-001 	
        11.615	  2.029e-002 	             	
        11.672	             	  3.774e-001 	
        11.679	  2.028e-002 	             	
        11.736	             	  3.774e-001 	
        11.743	  2.025e-002 	             	
        11.800	             	  3.774e-001 	
        11.807	  2.025e-002 	             	
        11.864	             	  3.774e-001 	
        11.871	  2.047e-002 	             	
        11.928	             	  3.774e-001 	
        11.935	  2.060e-002 	             	
        11.992	             	  3.774e-001 	
        11.999	  2.053e-002 	             	
        12.063	  2.043e-002 	             	
        12.088	             	  3.775e-001 	
        12.127	  2.044e-002 	             	
        12.152	             	  3.775e-001 	
        12.191	  2.062e-002 	             	
        12.216	             	  3.775e-001 	
        12.280	             	  3.775e-001 	
        12.287	  2.045e-002 	             	
        12.344	             	  3.775e-001 	
        12.351	  2.068e-002 	             	
        12.408	             	  3.774e-001 	
        12.415	  2.052e-002 	             	
        12.472	             	  3.774e-001 	
        12.479	  2.045e-002 	             	
        12.536	             	  3.775e-001 	
        12.543	  2.058e-002 	             	
        12.600	             	  3.775e-001 	
        12.607	  2.060e-002 	             	
        12.664	             	  3.774e-001 	
        12.671	  2.064e-002 	             	
        12.728	             	  3.774e-001 	
        12.735	  2.074e-002 	             	
        12.792	             	  3.773e-001 	
        12.799	  2.082e-002 	             	
        12.863	  2.085e-002 	             	
        12.888	             	  3.774e-001 	
        12.927	  2.055e-002 	             	
        12.952	             	  3.775e-001 	
        12.991	  2.068e-002 	             	
        13.016	             	  3.776e-001 	
        13.080	             	  3.777e-001 	
        13.087	  2.061e-002 	             	
        13.144	             	  3.777e-001 	
        13.151	  2.047e-002 	             	
        13.208	             	  3.777e-001 	
        13.215	  2.054e-002 	             	
        13.272	             	  3.776e-001 	
        13.279	  2.069e-002 	             	
        13.336	             	  3.776e-001 	
        13.343	  2.079e-002 	             	
        13.400	             	  3.776e-001 	
        13.407	  2.057e-002 	             	
        13.464	             	  3.776e-001 	
        13.471	  2.053e-002 	             	
        13.528	             	  3.777e-001 	
        13.535	  2.042e-002 	             	
        13.592	             	  3.778e-001 	
        13.599	  2.056e-002 	             	
        13.663	  2.036e-002 	             	
        13.688	             	  3.779e-001 	
        13.727	  2.052e-002 	             	
        13.752	             	  3.780e-001 	
        13.791	  2.046e-002 	             	
        13.816	             	  3.780e-001 	
        13.880	             	  3.779e-001 	
        13.887	  2.040e-002 	             	
        13.943	             	  3.778e-001 	
        13.951	  2.037e-002 	             	
        14.008	             	  3.777e-001 	
        14.015	  2.030e-002 	             	
        14.072	             	  3.777e-001 	
        14.079	  2.027e-002 	             	
        14.136	             	  3.777e-001 	
        14.143	  2.023e-002 	             	
        14.200	             	  3.777e-001 	
        14.207	  2.029e-002 	             	
        14.264	             	  3.777e-001 	
        14.271	  2.038e-002 	             	
        14.328	             	  3.777e-001 	
        14.335	  2.041e-002 	             	
        14.392	             	  3.777e-001 	
