;PC Software:StarLab Version 2.10 Build 25
;Logged:20/09/2022 at 16:44:10
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 20/09/2022 at 16:44:10.360000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  2.764e-002 	             	
         0.003	             	  1.413e-001 	
         0.064	  2.814e-002 	             	
         0.067	             	  1.412e-001 	
         0.128	  2.788e-002 	             	
         0.131	             	  1.411e-001 	
         0.192	  2.770e-002 	             	
         0.195	             	  1.410e-001 	
         0.256	  2.787e-002 	             	
         0.259	             	  1.410e-001 	
         0.320	  2.788e-002 	             	
         0.323	             	  1.410e-001 	
         0.416	  2.763e-002 	             	
         0.419	             	  1.410e-001 	
         0.480	  2.792e-002 	             	
         0.483	             	  1.411e-001 	
         0.544	  2.797e-002 	             	
         0.547	             	  1.411e-001 	
         0.608	  2.778e-002 	             	
         0.611	             	  1.412e-001 	
         0.672	  2.820e-002 	             	
         0.675	             	  1.412e-001 	
         0.736	  2.773e-002 	             	
         0.739	             	  1.411e-001 	
         0.800	  2.763e-002 	             	
         0.803	             	  1.411e-001 	
         0.864	  2.795e-002 	             	
         0.867	             	  1.411e-001 	
         0.928	  2.790e-002 	             	
         0.931	             	  1.411e-001 	
         0.992	  2.807e-002 	             	
         0.995	             	  1.410e-001 	
         1.056	  2.821e-002 	             	
         1.059	             	  1.409e-001 	
         1.120	  2.814e-002 	             	
         1.123	             	  1.409e-001 	
         1.216	  2.799e-002 	             	
         1.219	             	  1.410e-001 	
         1.280	  2.797e-002 	             	
         1.283	             	  1.410e-001 	
         1.344	  2.806e-002 	             	
         1.347	             	  1.410e-001 	
         1.408	  2.815e-002 	             	
         1.411	             	  1.411e-001 	
         1.472	  2.794e-002 	             	
         1.475	             	  1.411e-001 	
         1.536	  2.786e-002 	             	
         1.539	             	  1.412e-001 	
         1.600	  2.790e-002 	             	
         1.603	             	  1.412e-001 	
         1.664	  2.777e-002 	             	
         1.667	             	  1.412e-001 	
         1.728	  2.796e-002 	             	
         1.731	             	  1.413e-001 	
         1.792	  2.766e-002 	             	
         1.795	             	  1.413e-001 	
         1.856	  2.807e-002 	             	
         1.859	             	  1.413e-001 	
         1.920	  2.788e-002 	             	
         1.923	             	  1.413e-001 	
         2.016	  2.810e-002 	             	
         2.019	             	  1.413e-001 	
         2.080	  2.803e-002 	             	
         2.083	             	  1.412e-001 	
         2.144	  2.797e-002 	             	
         2.147	             	  1.412e-001 	
         2.208	  2.805e-002 	             	
         2.211	             	  1.411e-001 	
         2.272	  2.800e-002 	             	
         2.275	             	  1.411e-001 	
         2.336	  2.773e-002 	             	
         2.339	             	  1.411e-001 	
         2.400	  2.754e-002 	             	
         2.403	             	  1.412e-001 	
         2.464	  2.785e-002 	             	
         2.467	             	  1.411e-001 	
         2.528	  2.777e-002 	             	
         2.531	             	  1.411e-001 	
         2.592	  2.772e-002 	             	
         2.595	             	  1.412e-001 	
         2.656	  2.765e-002 	             	
         2.659	             	  1.411e-001 	
         2.720	  2.772e-002 	             	
         2.755	             	  1.411e-001 	
         2.816	  2.792e-002 	             	
         2.819	             	  1.411e-001 	
         2.880	  2.775e-002 	             	
         2.883	             	  1.410e-001 	
         2.944	  2.783e-002 	             	
         2.947	             	  1.411e-001 	
         3.008	  2.782e-002 	             	
         3.011	             	  1.411e-001 	
         3.072	  2.779e-002 	             	
         3.075	             	  1.410e-001 	
         3.136	  2.797e-002 	             	
         3.139	             	  1.410e-001 	
         3.200	  2.802e-002 	             	
         3.203	             	  1.410e-001 	
         3.264	  2.777e-002 	             	
         3.267	             	  1.410e-001 	
         3.328	  2.778e-002 	             	
         3.331	             	  1.410e-001 	
         3.392	  2.778e-002 	             	
         3.395	             	  1.410e-001 	
         3.456	  2.774e-002 	             	
         3.459	             	  1.410e-001 	
         3.520	  2.803e-002 	             	
         3.523	             	  1.410e-001 	
         3.616	  2.788e-002 	             	
         3.619	             	  1.409e-001 	
         3.680	  2.787e-002 	             	
         3.683	             	  1.409e-001 	
         3.744	  2.776e-002 	             	
         3.747	             	  1.409e-001 	
         3.808	  2.795e-002 	             	
         3.811	             	  1.409e-001 	
         3.872	  2.782e-002 	             	
         3.875	             	  1.408e-001 	
         3.936	  2.785e-002 	             	
         3.939	             	  1.408e-001 	
         4.000	  2.795e-002 	             	
         4.003	             	  1.408e-001 	
         4.064	  2.799e-002 	             	
         4.067	             	  1.408e-001 	
         4.128	  2.803e-002 	             	
         4.131	             	  1.408e-001 	
         4.192	  2.792e-002 	             	
         4.195	             	  1.408e-001 	
         4.256	  2.790e-002 	             	
         4.259	             	  1.407e-001 	
         4.320	  2.813e-002 	             	
         4.323	             	  1.406e-001 	
         4.416	  2.773e-002 	             	
         4.419	             	  1.406e-001 	
         4.480	  2.774e-002 	             	
         4.483	             	  1.406e-001 	
         4.544	  2.766e-002 	             	
         4.547	             	  1.407e-001 	
         4.608	  2.774e-002 	             	
         4.611	             	  1.407e-001 	
         4.672	  2.779e-002 	             	
         4.675	             	  1.407e-001 	
         4.736	  2.759e-002 	             	
         4.739	             	  1.407e-001 	
         4.800	  2.790e-002 	             	
         4.803	             	  1.407e-001 	
         4.864	  2.786e-002 	             	
         4.867	             	  1.407e-001 	
         4.928	  2.770e-002 	             	
         4.931	             	  1.407e-001 	
         4.992	  2.805e-002 	             	
         4.995	             	  1.407e-001 	
         5.056	  2.793e-002 	             	
         5.059	             	  1.407e-001 	
         5.120	  2.804e-002 	             	
         5.123	             	  1.408e-001 	
         5.216	  2.792e-002 	             	
         5.219	             	  1.408e-001 	
         5.280	  2.784e-002 	             	
         5.283	             	  1.408e-001 	
         5.344	  2.804e-002 	             	
         5.347	             	  1.408e-001 	
         5.408	  2.778e-002 	             	
         5.411	             	  1.409e-001 	
         5.472	  2.784e-002 	             	
         5.475	             	  1.410e-001 	
         5.536	  2.782e-002 	             	
         5.539	             	  1.409e-001 	
         5.600	  2.789e-002 	             	
         5.603	             	  1.409e-001 	
         5.664	  2.767e-002 	             	
         5.667	             	  1.408e-001 	
         5.728	  2.780e-002 	             	
         5.731	             	  1.408e-001 	
         5.792	  2.776e-002 	             	
         5.795	             	  1.408e-001 	
         5.856	  2.768e-002 	             	
         5.859	             	  1.407e-001 	
         5.920	  2.773e-002 	             	
         5.923	             	  1.406e-001 	
         6.016	  2.783e-002 	             	
         6.019	             	  1.405e-001 	
         6.080	  2.785e-002 	             	
         6.083	             	  1.404e-001 	
         6.144	  2.776e-002 	             	
         6.147	             	  1.404e-001 	
         6.208	  2.791e-002 	             	
         6.211	             	  1.404e-001 	
         6.272	  2.796e-002 	             	
         6.275	             	  1.405e-001 	
         6.336	  2.801e-002 	             	
         6.339	             	  1.406e-001 	
         6.400	  2.783e-002 	             	
         6.403	             	  1.406e-001 	
         6.464	  2.806e-002 	             	
         6.467	             	  1.407e-001 	
         6.528	  2.794e-002 	             	
         6.531	             	  1.407e-001 	
         6.592	  2.786e-002 	             	
         6.595	             	  1.407e-001 	
         6.656	  2.783e-002 	             	
         6.659	             	  1.407e-001 	
         6.720	  2.775e-002 	             	
         6.723	             	  1.407e-001 	
         6.816	  2.781e-002 	             	
         6.819	             	  1.407e-001 	
         6.880	  2.763e-002 	             	
         6.883	             	  1.407e-001 	
         6.944	  2.744e-002 	             	
         6.947	             	  1.407e-001 	
         7.008	  2.759e-002 	             	
         7.011	             	  1.407e-001 	
         7.072	  2.755e-002 	             	
         7.075	             	  1.407e-001 	
         7.136	  2.777e-002 	             	
         7.139	             	  1.407e-001 	
         7.200	  2.753e-002 	             	
         7.203	             	  1.407e-001 	
         7.264	  2.761e-002 	             	
         7.267	             	  1.407e-001 	
         7.328	  2.772e-002 	             	
         7.331	             	  1.407e-001 	
         7.392	  2.772e-002 	             	
         7.395	             	  1.407e-001 	
         7.456	  2.746e-002 	             	
         7.459	             	  1.407e-001 	
         7.520	  2.775e-002 	             	
         7.523	             	  1.407e-001 	
         7.616	  2.745e-002 	             	
         7.619	             	  1.406e-001 	
         7.680	  2.752e-002 	             	
         7.683	             	  1.406e-001 	
         7.744	  2.750e-002 	             	
         7.747	             	  1.407e-001 	
         7.808	  2.748e-002 	             	
         7.811	             	  1.407e-001 	
         7.872	  2.762e-002 	             	
         7.875	             	  1.407e-001 	
         7.936	  2.747e-002 	             	
         7.939	             	  1.407e-001 	
         8.000	  2.748e-002 	             	
         8.003	             	  1.407e-001 	
         8.064	  2.744e-002 	             	
         8.067	             	  1.406e-001 	
         8.128	  2.744e-002 	             	
         8.131	             	  1.407e-001 	
         8.192	  2.748e-002 	             	
         8.195	             	  1.407e-001 	
         8.256	  2.743e-002 	             	
