;PC Software:StarLab Version 2.10 Build 25
;Logged:14/09/2022 at 15:18:51
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 14/09/2022 at 15:18:51.475000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  1.420e-003 	             	
         0.048	             	  4.280e-001 	
         0.064	  1.420e-003 	             	
         0.112	             	  4.280e-001 	
         0.128	  1.430e-003 	             	
         0.192	  1.420e-003 	             	
         0.208	             	  4.280e-001 	
         0.256	  1.420e-003 	             	
         0.272	             	  4.280e-001 	
         0.320	  1.430e-003 	             	
         0.336	             	  4.279e-001 	
         0.384	  1.440e-003 	             	
         0.400	             	  4.278e-001 	
         0.448	  1.440e-003 	             	
         0.464	             	  4.278e-001 	
         0.512	  1.440e-003 	             	
         0.528	             	  4.278e-001 	
         0.592	             	  4.278e-001 	
         0.608	  1.440e-003 	             	
         0.656	             	  4.279e-001 	
         0.672	  1.440e-003 	             	
         0.720	             	  4.279e-001 	
         0.736	  1.430e-003 	             	
         0.784	             	  4.280e-001 	
         0.800	  1.430e-003 	             	
         0.848	             	  4.281e-001 	
         0.864	  1.430e-003 	             	
         0.912	             	  4.281e-001 	
         0.928	  1.440e-003 	             	
         0.992	  1.430e-003 	             	
         1.008	             	  4.280e-001 	
         1.056	  1.430e-003 	             	
         1.072	             	  4.280e-001 	
         1.120	  1.430e-003 	             	
         1.136	             	  4.280e-001 	
         1.184	  1.420e-003 	             	
         1.200	             	  4.280e-001 	
         1.248	  1.430e-003 	             	
         1.265	             	  4.280e-001 	
         1.312	  1.430e-003 	             	
         1.328	             	  4.279e-001 	
         1.392	             	  4.279e-001 	
         1.408	  1.420e-003 	             	
         1.456	             	  4.278e-001 	
         1.472	  1.420e-003 	             	
         1.520	             	  4.278e-001 	
         1.536	  1.430e-003 	             	
         1.584	             	  4.277e-001 	
         1.600	  1.420e-003 	             	
         1.648	             	  4.277e-001 	
         1.664	  1.430e-003 	             	
         1.712	             	  4.277e-001 	
         1.728	  1.420e-003 	             	
         1.792	  1.420e-003 	             	
         1.808	             	  4.277e-001 	
         1.856	  1.420e-003 	             	
         1.872	             	  4.277e-001 	
         1.920	  1.420e-003 	             	
         1.936	             	  4.276e-001 	
         1.984	  1.420e-003 	             	
         2.000	             	  4.276e-001 	
         2.048	  1.420e-003 	             	
         2.064	             	  4.276e-001 	
         2.112	  1.430e-003 	             	
         2.128	             	  4.276e-001 	
         2.192	             	  4.276e-001 	
         2.208	  1.420e-003 	             	
         2.256	             	  4.276e-001 	
         2.272	  1.430e-003 	             	
         2.320	             	  4.276e-001 	
         2.336	  1.420e-003 	             	
         2.384	             	  4.277e-001 	
         2.400	  1.420e-003 	             	
         2.448	             	  4.278e-001 	
         2.464	  1.420e-003 	             	
         2.512	             	  4.278e-001 	
         2.528	  1.420e-003 	             	
         2.592	  1.430e-003 	             	
         2.608	             	  4.278e-001 	
         2.656	  1.430e-003 	             	
         2.672	             	  4.278e-001 	
         2.720	  1.430e-003 	             	
         2.736	             	  4.279e-001 	
         2.784	  1.430e-003 	             	
         2.800	             	  4.280e-001 	
         2.848	  1.430e-003 	             	
         2.864	             	  4.280e-001 	
         2.912	  1.420e-003 	             	
         2.928	             	  4.281e-001 	
         2.992	             	  4.281e-001 	
         3.008	  1.430e-003 	             	
         3.056	             	  4.281e-001 	
         3.072	  1.430e-003 	             	
         3.120	             	  4.281e-001 	
         3.136	  1.430e-003 	             	
         3.184	             	  4.280e-001 	
         3.200	  1.440e-003 	             	
         3.248	             	  4.280e-001 	
         3.264	  1.430e-003 	             	
         3.312	             	  4.280e-001 	
         3.328	  1.430e-003 	             	
         3.392	  1.420e-003 	             	
         3.408	             	  4.280e-001 	
         3.456	  1.420e-003 	             	
         3.472	             	  4.278e-001 	
         3.520	  1.420e-003 	             	
         3.536	             	  4.278e-001 	
         3.584	  1.430e-003 	             	
         3.600	             	  4.277e-001 	
         3.648	  1.430e-003 	             	
         3.664	             	  4.277e-001 	
         3.712	  1.430e-003 	             	
         3.728	             	  4.276e-001 	
         3.792	             	  4.277e-001 	
         3.808	  1.420e-003 	             	
         3.856	             	  4.278e-001 	
         3.872	  1.430e-003 	             	
         3.920	             	  4.279e-001 	
         3.936	  1.430e-003 	             	
         3.984	             	  4.279e-001 	
         4.000	  1.440e-003 	             	
         4.048	             	  4.279e-001 	
         4.064	  1.430e-003 	             	
         4.112	             	  4.280e-001 	
         4.128	  1.430e-003 	             	
         4.192	  1.440e-003 	             	
         4.208	             	  4.280e-001 	
         4.256	  1.440e-003 	             	
         4.272	             	  4.280e-001 	
         4.320	  1.430e-003 	             	
         4.336	             	  4.280e-001 	
         4.384	  1.420e-003 	             	
         4.400	             	  4.280e-001 	
         4.448	  1.430e-003 	             	
         4.464	             	  4.280e-001 	
         4.512	  1.420e-003 	             	
         4.528	             	  4.280e-001 	
         4.592	             	  4.280e-001 	
         4.608	  1.430e-003 	             	
         4.656	             	  4.280e-001 	
         4.672	  1.440e-003 	             	
         4.720	             	  4.280e-001 	
         4.736	  1.430e-003 	             	
         4.784	             	  4.280e-001 	
         4.800	  1.430e-003 	             	
         4.848	             	  4.280e-001 	
         4.864	  1.430e-003 	             	
         4.912	             	  4.281e-001 	
         4.928	  1.430e-003 	             	
         4.992	  1.440e-003 	             	
         5.008	             	  4.281e-001 	
         5.056	  1.430e-003 	             	
         5.072	             	  4.282e-001 	
         5.120	  1.430e-003 	             	
         5.136	             	  4.282e-001 	
         5.184	  1.430e-003 	             	
         5.200	             	  4.281e-001 	
         5.248	  1.430e-003 	             	
         5.264	             	  4.281e-001 	
         5.312	  1.430e-003 	             	
         5.328	             	  4.282e-001 	
         5.392	             	  4.281e-001 	
         5.408	  1.430e-003 	             	
         5.456	             	  4.281e-001 	
         5.472	  1.430e-003 	             	
         5.520	             	  4.281e-001 	
         5.536	  1.440e-003 	             	
         5.584	             	  4.280e-001 	
         5.600	  1.440e-003 	             	
         5.648	             	  4.280e-001 	
         5.664	  1.440e-003 	             	
         5.712	             	  4.280e-001 	
         5.728	  1.430e-003 	             	
         5.792	  1.420e-003 	             	
         5.808	             	  4.280e-001 	
         5.856	  1.420e-003 	             	
         5.872	             	  4.280e-001 	
         5.920	  1.410e-003 	             	
         5.936	             	  4.280e-001 	
         5.984	  1.420e-003 	             	
         6.000	             	  4.280e-001 	
         6.048	  1.420e-003 	             	
         6.064	             	  4.280e-001 	
         6.112	  1.430e-003 	             	
         6.128	             	  4.281e-001 	
         6.192	             	  4.282e-001 	
         6.208	  1.430e-003 	             	
         6.256	             	  4.282e-001 	
         6.272	  1.410e-003 	             	
         6.320	             	  4.282e-001 	
         6.336	  1.420e-003 	             	
         6.384	             	  4.282e-001 	
         6.400	  1.460e-003 	             	
         6.448	             	  4.282e-001 	
         6.464	  1.420e-003 	             	
         6.512	             	  4.282e-001 	
         6.528	  1.430e-003 	             	
         6.592	  1.430e-003 	             	
         6.608	             	  4.282e-001 	
         6.656	  1.430e-003 	             	
         6.672	             	  4.282e-001 	
         6.720	  1.430e-003 	             	
         6.736	             	  4.282e-001 	
         6.784	  1.430e-003 	             	
         6.800	             	  4.281e-001 	
         6.848	  1.430e-003 	             	
         6.864	             	  4.280e-001 	
         6.912	  1.430e-003 	             	
         6.928	             	  4.281e-001 	
         6.992	             	  4.280e-001 	
         7.008	  1.430e-003 	             	
         7.056	             	  4.280e-001 	
         7.072	  1.420e-003 	             	
         7.120	             	  4.280e-001 	
         7.136	  1.430e-003 	             	
         7.184	             	  4.279e-001 	
         7.200	  1.440e-003 	             	
         7.248	             	  4.280e-001 	
         7.264	  1.420e-003 	             	
         7.312	             	  4.280e-001 	
         7.328	  1.430e-003 	             	
         7.392	  1.430e-003 	             	
         7.408	             	  4.280e-001 	
         7.456	  1.430e-003 	             	
         7.472	             	  4.280e-001 	
         7.520	  1.440e-003 	             	
         7.536	             	  4.280e-001 	
         7.584	  1.440e-003 	             	
         7.600	             	  4.280e-001 	
         7.648	  1.420e-003 	             	
         7.664	             	  4.280e-001 	
         7.712	  1.420e-003 	             	
         7.728	             	  4.280e-001 	
         7.792	             	  4.279e-001 	
         7.808	  1.420e-003 	             	
         7.856	             	  4.279e-001 	
         7.872	  1.420e-003 	             	
         7.920	             	  4.279e-001 	
         7.936	  1.440e-003 	             	
         7.984	             	  4.279e-001 	
         8.000	  1.430e-003 	             	
         8.048	             	  4.279e-001 	
         8.064	  1.430e-003 	             	
         8.112	             	  4.279e-001 	
         8.128	  1.430e-003 	             	
         8.192	  1.430e-003 	             	
         8.208	             	  4.279e-001 	
         8.256	  1.430e-003 	             	
         8.272	             	  4.279e-001 	
         8.320	  1.430e-003 	             	
         8.336	             	  4.279e-001 	
         8.384	  1.420e-003 	             	
         8.400	             	  4.280e-001 	
         8.448	  1.440e-003 	             	
         8.464	             	  4.281e-001 	
         8.512	  1.450e-003 	             	
         8.528	             	  4.281e-001 	
         8.592	             	  4.282e-001 	
         8.608	  1.440e-003 	             	
         8.656	             	  4.282e-001 	
         8.672	  1.420e-003 	             	
         8.720	             	  4.282e-001 	
         8.736	  1.400e-003 	             	
         8.784	             	  4.282e-001 	
         8.800	  1.430e-003 	             	
         8.848	             	  4.282e-001 	
         8.864	  1.440e-003 	             	
         8.912	             	  4.281e-001 	
         8.928	  1.430e-003 	             	
         8.976	             	  4.281e-001 	
         8.992	  1.440e-003 	             	
         9.056	  1.430e-003 	             	
         9.072	             	  4.282e-001 	
         9.120	  1.430e-003 	             	
         9.136	             	  4.283e-001 	
         9.184	  1.430e-003 	             	
         9.200	             	  4.283e-001 	
         9.248	  1.430e-003 	             	
         9.264	             	  4.284e-001 	
         9.312	  1.440e-003 	             	
         9.328	             	  4.284e-001 	
         9.376	  1.450e-003 	             	
         9.392	             	  4.284e-001 	
         9.456	             	  4.284e-001 	
         9.472	  1.430e-003 	             	
         9.520	             	  4.284e-001 	
         9.536	  1.440e-003 	             	
         9.584	             	  4.284e-001 	
         9.600	  1.430e-003 	             	
         9.648	             	  4.283e-001 	
         9.664	  1.430e-003 	             	
         9.712	             	  4.282e-001 	
         9.728	  1.430e-003 	             	
         9.776	             	  4.281e-001 	
         9.792	  1.440e-003 	             	
         9.856	  1.440e-003 	             	
         9.872	             	  4.281e-001 	
         9.920	  1.430e-003 	             	
         9.936	             	  4.281e-001 	
         9.984	  1.430e-003 	             	
        10.000	             	  4.281e-001 	
        10.048	  1.430e-003 	             	
        10.064	             	  4.281e-001 	
        10.112	  1.430e-003 	             	
        10.128	             	  4.281e-001 	
        10.176	  1.430e-003 	             	
        10.192	             	  4.281e-001 	
        10.256	             	  4.281e-001 	
        10.272	  1.440e-003 	             	
        10.320	             	  4.281e-001 	
        10.336	  1.430e-003 	             	
        10.384	             	  4.280e-001 	
        10.400	  1.430e-003 	             	
        10.448	             	  4.280e-001 	
        10.464	  1.430e-003 	             	
        10.512	             	  4.279e-001 	
        10.528	  1.440e-003 	             	
        10.576	             	  4.279e-001 	
        10.592	  1.430e-003 	             	
        10.656	  1.430e-003 	             	
        10.672	             	  4.279e-001 	
        10.720	  1.430e-003 	             	
        10.736	             	  4.279e-001 	
        10.784	  1.430e-003 	             	
        10.800	             	  4.279e-001 	
        10.848	  1.430e-003 	             	
        10.864	             	  4.277e-001 	
        10.912	  1.440e-003 	             	
        10.928	             	  4.276e-001 	
        10.976	  1.430e-003 	             	
        10.992	             	  4.276e-001 	
        11.056	             	  4.277e-001 	
        11.072	  1.440e-003 	             	
        11.120	             	  4.277e-001 	
        11.136	  1.440e-003 	             	
        11.184	             	  4.277e-001 	
        11.200	  1.440e-003 	             	
        11.248	             	  4.276e-001 	
        11.264	  1.440e-003 	             	
        11.312	             	  4.277e-001 	
        11.328	  1.440e-003 	             	
        11.376	             	  4.277e-001 	
        11.392	  1.440e-003 	             	
        11.456	  1.450e-003 	             	
        11.472	             	  4.277e-001 	
        11.520	  1.450e-003 	             	
        11.536	             	  4.276e-001 	
        11.584	  1.430e-003 	             	
        11.600	             	  4.276e-001 	
        11.648	  1.430e-003 	             	
        11.664	             	  4.275e-001 	
        11.712	  1.440e-003 	             	
        11.728	             	  4.275e-001 	
        11.776	  1.430e-003 	             	
        11.792	             	  4.274e-001 	
        11.856	             	  4.274e-001 	
        11.872	  1.420e-003 	             	
        11.920	             	  4.274e-001 	
        11.936	  1.430e-003 	             	
        11.984	             	  4.273e-001 	
        12.000	  1.440e-003 	             	
