;PC Software:StarLab Version 2.10 Build 25
;Logged:22/09/2022 at 16:04:33
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 22/09/2022 at 16:04:33.857000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  4.638e-001 	
         0.007	  1.075e-002 	             	
         0.064	             	  4.637e-001 	
         0.071	  1.079e-002 	             	
         0.128	             	  4.636e-001 	
         0.135	  1.068e-002 	             	
         0.192	             	  4.636e-001 	
         0.199	  1.071e-002 	             	
         0.255	             	  4.636e-001 	
         0.263	  1.074e-002 	             	
         0.327	  1.081e-002 	             	
         0.351	             	  4.635e-001 	
         0.391	  1.071e-002 	             	
         0.416	             	  4.634e-001 	
         0.455	  1.062e-002 	             	
         0.479	             	  4.634e-001 	
         0.519	  1.067e-002 	             	
         0.544	             	  4.633e-001 	
         0.607	             	  4.632e-001 	
         0.615	  1.067e-002 	             	
         0.671	             	  4.632e-001 	
         0.679	  1.071e-002 	             	
         0.735	             	  4.631e-001 	
         0.743	  1.075e-002 	             	
         0.799	             	  4.631e-001 	
         0.807	  1.068e-002 	             	
         0.863	             	  4.631e-001 	
         0.871	  1.070e-002 	             	
         0.927	             	  4.631e-001 	
         0.935	  1.075e-002 	             	
         0.991	             	  4.631e-001 	
         0.999	  1.073e-002 	             	
         1.055	             	  4.631e-001 	
         1.063	  1.073e-002 	             	
         1.127	  1.078e-002 	             	
         1.151	             	  4.631e-001 	
         1.191	  1.087e-002 	             	
         1.215	             	  4.631e-001 	
         1.255	  1.081e-002 	             	
         1.279	             	  4.632e-001 	
         1.319	  1.076e-002 	             	
         1.343	             	  4.632e-001 	
         1.407	             	  4.632e-001 	
         1.415	  1.064e-002 	             	
         1.471	             	  4.632e-001 	
         1.479	  1.061e-002 	             	
         1.535	             	  4.632e-001 	
         1.543	  1.061e-002 	             	
         1.599	             	  4.631e-001 	
         1.607	  1.056e-002 	             	
         1.663	             	  4.630e-001 	
         1.671	  1.049e-002 	             	
         1.727	             	  4.630e-001 	
         1.735	  1.039e-002 	             	
         1.791	             	  4.630e-001 	
         1.799	  1.042e-002 	             	
         1.855	             	  4.629e-001 	
         1.863	  1.037e-002 	             	
         1.927	  1.038e-002 	             	
         1.951	             	  4.629e-001 	
         1.991	  1.041e-002 	             	
         2.015	             	  4.629e-001 	
         2.055	  1.034e-002 	             	
         2.079	             	  4.629e-001 	
         2.119	  1.034e-002 	             	
         2.143	             	  4.630e-001 	
         2.183	  1.034e-002 	             	
         2.207	             	  4.630e-001 	
