;PC Software:StarLab Version 2.10 Build 25
;Logged:20/09/2022 at 16:30:55
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 20/09/2022 at 16:30:55.992000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  8.460e-002 	             	
         0.003	             	  4.600e-001 	
         0.064	  8.440e-002 	             	
         0.067	             	  4.601e-001 	
         0.128	  8.380e-002 	             	
         0.131	             	  4.601e-001 	
         0.192	  8.310e-002 	             	
         0.195	             	  4.601e-001 	
         0.256	  8.280e-002 	             	
         0.259	             	  4.602e-001 	
         0.320	  8.240e-002 	             	
         0.355	             	  4.602e-001 	
         0.384	  8.240e-002 	             	
         0.419	             	  4.603e-001 	
         0.448	  8.220e-002 	             	
         0.483	             	  4.603e-001 	
         0.544	  8.190e-002 	             	
         0.547	             	  4.602e-001 	
         0.608	  8.210e-002 	             	
         0.611	             	  4.602e-001 	
         0.672	  8.240e-002 	             	
         0.675	             	  4.602e-001 	
         0.736	  8.240e-002 	             	
         0.739	             	  4.602e-001 	
         0.800	  8.250e-002 	             	
         0.803	             	  4.603e-001 	
         0.864	  8.310e-002 	             	
         0.867	             	  4.604e-001 	
         0.928	  8.460e-002 	             	
         0.931	             	  4.604e-001 	
         0.992	  8.650e-002 	             	
         0.995	             	  4.603e-001 	
         1.056	  8.950e-002 	             	
         1.059	             	  4.603e-001 	
         1.120	  9.210e-002 	             	
         1.155	             	  4.602e-001 	
         1.184	  9.340e-002 	             	
         1.219	             	  4.601e-001 	
         1.248	  9.330e-002 	             	
         1.283	             	  4.600e-001 	
         1.344	  9.120e-002 	             	
         1.347	             	  4.600e-001 	
         1.408	  8.860e-002 	             	
         1.411	             	  4.600e-001 	
         1.472	  8.650e-002 	             	
         1.475	             	  4.600e-001 	
         1.536	  8.420e-002 	             	
         1.539	             	  4.600e-001 	
         1.600	  8.350e-002 	             	
         1.603	             	  4.599e-001 	
         1.664	  8.370e-002 	             	
         1.667	             	  4.599e-001 	
         1.728	  8.340e-002 	             	
         1.731	             	  4.600e-001 	
         1.792	  8.380e-002 	             	
         1.795	             	  4.600e-001 	
         1.856	  8.340e-002 	             	
         1.859	             	  4.600e-001 	
         1.920	  8.290e-002 	             	
         1.923	             	  4.601e-001 	
         1.984	  8.270e-002 	             	
         2.019	             	  4.601e-001 	
         2.048	  8.280e-002 	             	
         2.083	             	  4.600e-001 	
         2.144	  8.290e-002 	             	
         2.147	             	  4.600e-001 	
         2.208	  8.250e-002 	             	
         2.211	             	  4.599e-001 	
         2.272	  8.290e-002 	             	
         2.275	             	  4.599e-001 	
         2.336	  8.330e-002 	             	
         2.339	             	  4.598e-001 	
         2.400	  8.360e-002 	             	
         2.403	             	  4.598e-001 	
         2.464	  8.390e-002 	             	
         2.467	             	  4.598e-001 	
         2.528	  8.400e-002 	             	
         2.531	             	  4.598e-001 	
         2.592	  8.270e-002 	             	
         2.595	             	  4.599e-001 	
         2.656	  8.050e-002 	             	
         2.659	             	  4.599e-001 	
         2.720	  7.910e-002 	             	
         2.723	             	  4.598e-001 	
         2.784	  7.760e-002 	             	
         2.819	             	  4.597e-001 	
         2.848	  7.570e-002 	             	
         2.883	             	  4.596e-001 	
         2.944	  7.370e-002 	             	
         2.947	             	  4.596e-001 	
         3.008	  7.310e-002 	             	
         3.011	             	  4.596e-001 	
         3.072	  7.280e-002 	             	
         3.075	             	  4.596e-001 	
         3.136	  7.270e-002 	             	
         3.139	             	  4.596e-001 	
         3.200	  7.220e-002 	             	
         3.203	             	  4.596e-001 	
         3.264	  7.180e-002 	             	
         3.267	             	  4.595e-001 	
         3.328	  7.140e-002 	             	
         3.331	             	  4.594e-001 	
         3.392	  7.110e-002 	             	
         3.395	             	  4.594e-001 	
         3.456	  7.150e-002 	             	
         3.459	             	  4.595e-001 	
         3.520	  7.160e-002 	             	
         3.523	             	  4.595e-001 	
         3.584	  7.090e-002 	             	
         3.619	             	  4.596e-001 	
         3.648	  7.180e-002 	             	
         3.683	             	  4.597e-001 	
         3.744	  7.160e-002 	             	
         3.747	             	  4.598e-001 	
         3.808	  7.210e-002 	             	
         3.811	             	  4.598e-001 	
         3.872	  7.210e-002 	             	
         3.875	             	  4.598e-001 	
         3.936	  7.210e-002 	             	
         3.939	             	  4.597e-001 	
         4.000	  7.310e-002 	             	
         4.003	             	  4.596e-001 	
         4.064	  7.310e-002 	             	
         4.067	             	  4.596e-001 	
         4.128	  7.310e-002 	             	
         4.131	             	  4.596e-001 	
         4.192	  7.280e-002 	             	
         4.195	             	  4.595e-001 	
         4.256	  7.330e-002 	             	
         4.259	             	  4.595e-001 	
         4.320	  7.350e-002 	             	
         4.323	             	  4.596e-001 	
         4.384	  7.350e-002 	             	
         4.419	             	  4.596e-001 	
         4.448	  7.350e-002 	             	
         4.483	             	  4.596e-001 	
         4.544	  7.390e-002 	             	
         4.547	             	  4.596e-001 	
         4.608	  7.430e-002 	             	
         4.611	             	  4.595e-001 	
         4.672	  7.450e-002 	             	
         4.675	             	  4.595e-001 	
         4.736	  7.490e-002 	             	
         4.739	             	  4.594e-001 	
         4.800	  7.560e-002 	             	
         4.803	             	  4.595e-001 	
         4.864	  7.590e-002 	             	
         4.867	             	  4.596e-001 	
         4.928	  7.590e-002 	             	
         4.931	             	  4.596e-001 	
         4.992	  7.560e-002 	             	
         4.995	             	  4.596e-001 	
         5.056	  7.670e-002 	             	
         5.059	             	  4.595e-001 	
         5.120	  7.680e-002 	             	
         5.123	             	  4.595e-001 	
         5.184	  7.660e-002 	             	
         5.219	             	  4.595e-001 	
         5.248	  7.670e-002 	             	
         5.283	             	  4.594e-001 	
         5.344	  7.680e-002 	             	
         5.347	             	  4.594e-001 	
         5.408	  7.750e-002 	             	
         5.411	             	  4.593e-001 	
         5.472	  7.820e-002 	             	
         5.475	             	  4.593e-001 	
         5.536	  7.860e-002 	             	
         5.539	             	  4.593e-001 	
         5.600	  7.900e-002 	             	
         5.603	             	  4.594e-001 	
         5.664	  7.940e-002 	             	
         5.667	             	  4.594e-001 	
         5.728	  8.000e-002 	             	
         5.731	             	  4.594e-001 	
         5.792	  8.010e-002 	             	
         5.795	             	  4.595e-001 	
         5.856	  7.940e-002 	             	
         5.859	             	  4.595e-001 	
         5.920	  7.810e-002 	             	
         5.923	             	  4.595e-001 	
         5.984	  7.710e-002 	             	
         6.019	             	  4.594e-001 	
         6.048	  7.620e-002 	             	
         6.083	             	  4.594e-001 	
         6.144	  7.500e-002 	             	
         6.147	             	  4.593e-001 	
         6.208	  7.460e-002 	             	
         6.211	             	  4.593e-001 	
         6.272	  7.450e-002 	             	
         6.275	             	  4.592e-001 	
         6.336	  7.460e-002 	             	
         6.339	             	  4.592e-001 	
         6.400	  7.370e-002 	             	
         6.403	             	  4.592e-001 	
         6.464	  7.340e-002 	             	
         6.467	             	  4.592e-001 	
         6.528	  7.270e-002 	             	
         6.531	             	  4.592e-001 	
         6.592	  7.190e-002 	             	
         6.595	             	  4.593e-001 	
         6.656	  7.130e-002 	             	
         6.659	             	  4.594e-001 	
         6.720	  7.030e-002 	             	
         6.723	             	  4.595e-001 	
         6.784	  7.030e-002 	             	
         6.819	             	  4.595e-001 	
         6.848	  6.950e-002 	             	
         6.883	             	  4.596e-001 	
         6.944	  6.870e-002 	             	
         6.947	             	  4.596e-001 	
         7.008	  6.770e-002 	             	
         7.011	             	  4.596e-001 	
         7.072	  6.710e-002 	             	
         7.075	             	  4.596e-001 	
         7.136	  6.650e-002 	             	
         7.139	             	  4.596e-001 	
         7.200	  6.580e-002 	             	
         7.203	             	  4.596e-001 	
         7.264	  6.570e-002 	             	
         7.267	             	  4.596e-001 	
         7.328	  6.480e-002 	             	
         7.331	             	  4.596e-001 	
         7.392	  6.450e-002 	             	
         7.395	             	  4.596e-001 	
         7.456	  6.410e-002 	             	
         7.459	             	  4.596e-001 	
         7.520	  6.310e-002 	             	
         7.523	             	  4.596e-001 	
         7.584	  6.260e-002 	             	
         7.619	             	  4.596e-001 	
         7.648	  6.230e-002 	             	
         7.683	             	  4.596e-001 	
         7.744	  6.210e-002 	             	
         7.747	             	  4.596e-001 	
         7.808	  6.180e-002 	             	
         7.811	             	  4.596e-001 	
         7.872	  6.130e-002 	             	
         7.875	             	  4.596e-001 	
         7.936	  6.110e-002 	             	
         7.939	             	  4.596e-001 	
         8.000	  6.090e-002 	             	
         8.003	             	  4.596e-001 	
         8.064	  6.030e-002 	             	
         8.067	             	  4.596e-001 	
         8.128	  6.010e-002 	             	
         8.131	             	  4.596e-001 	
         8.192	  5.980e-002 	             	
         8.195	             	  4.596e-001 	
         8.256	  5.970e-002 	             	
         8.259	             	  4.597e-001 	
         8.320	  5.970e-002 	             	
         8.323	             	  4.597e-001 	
         8.384	  5.990e-002 	             	
         8.419	             	  4.597e-001 	
         8.448	  5.950e-002 	             	
         8.483	             	  4.596e-001 	
         8.544	  5.960e-002 	             	
         8.547	             	  4.595e-001 	
         8.608	  5.910e-002 	             	
         8.611	             	  4.594e-001 	
         8.672	  5.890e-002 	             	
         8.675	             	  4.595e-001 	
         8.736	  5.890e-002 	             	
         8.739	             	  4.594e-001 	
         8.800	  5.890e-002 	             	
         8.803	             	  4.595e-001 	
         8.864	  5.880e-002 	             	
         8.867	             	  4.596e-001 	
         8.928	  5.910e-002 	             	
         8.931	             	  4.595e-001 	
         8.992	  5.970e-002 	             	
         8.995	             	  4.595e-001 	
         9.056	  6.010e-002 	             	
         9.059	             	  4.595e-001 	
         9.120	  6.010e-002 	             	
         9.123	             	  4.596e-001 	
         9.184	  6.060e-002 	             	
         9.219	             	  4.597e-001 	
         9.248	  6.060e-002 	             	
         9.283	             	  4.597e-001 	
         9.344	  6.090e-002 	             	
         9.347	             	  4.598e-001 	
         9.408	  6.140e-002 	             	
         9.411	             	  4.598e-001 	
         9.472	  6.190e-002 	             	
         9.475	             	  4.599e-001 	
         9.536	  6.270e-002 	             	
         9.539	             	  4.600e-001 	
         9.600	  6.300e-002 	             	
         9.603	             	  4.600e-001 	
         9.664	  6.390e-002 	             	
         9.667	             	  4.600e-001 	
         9.728	  6.420e-002 	             	
         9.731	             	  4.600e-001 	
         9.792	  6.430e-002 	             	
         9.795	             	  4.600e-001 	
         9.856	  6.400e-002 	             	
         9.858	             	  4.601e-001 	
         9.920	  6.410e-002 	             	
         9.923	             	  4.601e-001 	
         9.984	  6.370e-002 	             	
        10.019	             	  4.600e-001 	
        10.048	  6.420e-002 	             	
        10.082	             	  4.599e-001 	
        10.112	  6.460e-002 	             	
        10.147	             	  4.598e-001 	
        10.208	  6.550e-002 	             	
        10.211	             	  4.597e-001 	
        10.272	  6.590e-002 	             	
        10.275	             	  4.597e-001 	
        10.336	  6.590e-002 	             	
        10.338	             	  4.597e-001 	
        10.401	  6.580e-002 	             	
        10.403	             	  4.597e-001 	
        10.465	  6.610e-002 	             	
        10.468	             	  4.597e-001 	
        10.529	  6.600e-002 	             	
        10.532	             	  4.597e-001 	
        10.593	  6.640e-002 	             	
        10.596	             	  4.597e-001 	
        10.657	  6.710e-002 	             	
        10.660	             	  4.597e-001 	
        10.721	  6.760e-002 	             	
        10.724	             	  4.597e-001 	
        10.785	  6.720e-002 	             	
        10.820	             	  4.597e-001 	
        10.849	  6.730e-002 	             	
        10.883	             	  4.597e-001 	
        10.913	  6.800e-002 	             	
        10.948	             	  4.597e-001 	
        11.009	  6.840e-002 	             	
        11.011	             	  4.597e-001 	
        11.073	  6.880e-002 	             	
        11.075	             	  4.596e-001 	
        11.137	  6.840e-002 	             	
        11.140	             	  4.596e-001 	
        11.201	  6.750e-002 	             	
        11.203	             	  4.596e-001 	
        11.265	  6.660e-002 	             	
        11.268	             	  4.596e-001 	
        11.329	  6.630e-002 	             	
        11.331	             	  4.596e-001 	
        11.393	  6.590e-002 	             	
        11.401	             	  4.595e-001 	
        11.457	  6.590e-002 	             	
        11.459	             	  4.595e-001 	
        11.521	  6.470e-002 	             	
        11.523	             	  4.596e-001 	
        11.585	  6.400e-002 	             	
        11.619	             	  4.598e-001 	
        11.649	  6.480e-002 	             	
        11.683	             	  4.598e-001 	
        11.713	  6.450e-002 	             	
        11.747	             	  4.599e-001 	
        11.809	  6.350e-002 	             	
        11.811	             	  4.599e-001 	
        11.873	  6.310e-002 	             	
        11.875	             	  4.600e-001 	
        11.937	  6.200e-002 	             	
        11.939	             	  4.599e-001 	
        12.001	  6.080e-002 	             	
        12.003	             	  4.599e-001 	
        12.065	  6.000e-002 	             	
        12.067	             	  4.598e-001 	
        12.129	  5.930e-002 	             	
        12.132	             	  4.597e-001 	
        12.193	  5.860e-002 	             	
        12.195	             	  4.597e-001 	
        12.257	  5.840e-002 	             	
        12.259	             	  4.595e-001 	
        12.321	  5.800e-002 	             	
        12.324	             	  4.594e-001 	
        12.385	  5.700e-002 	             	
        12.419	             	  4.594e-001 	
        12.449	  5.680e-002 	             	
        12.483	             	  4.594e-001 	
        12.513	  5.670e-002 	             	
        12.547	             	  4.594e-001 	
