;PC Software:StarLab Version 2.10 Build 25
;Logged:22/09/2022 at 16:26:43
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 22/09/2022 at 16:26:43.529000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  3.640e-002 	             	
         0.057	             	  1.023e+000 	
         0.064	  3.640e-002 	             	
         0.120	             	  1.022e+000 	
         0.128	  3.660e-002 	             	
         0.185	             	  1.022e+000 	
         0.192	  3.650e-002 	             	
         0.248	             	  1.022e+000 	
         0.256	  3.650e-002 	             	
         0.312	             	  1.022e+000 	
         0.320	  3.650e-002 	             	
         0.376	             	  1.022e+000 	
         0.384	  3.650e-002 	             	
         0.448	  3.650e-002 	             	
         0.472	             	  1.022e+000 	
         0.512	  3.650e-002 	             	
         0.536	             	  1.022e+000 	
         0.600	             	  1.022e+000 	
         0.608	  3.660e-002 	             	
         0.665	             	  1.023e+000 	
         0.672	  3.640e-002 	             	
         0.728	             	  1.023e+000 	
         0.736	  3.640e-002 	             	
         0.792	             	  1.023e+000 	
         0.800	  3.640e-002 	             	
         0.856	             	  1.023e+000 	
         0.864	  3.640e-002 	             	
         0.920	             	  1.023e+000 	
         0.928	  3.640e-002 	             	
         0.984	             	  1.023e+000 	
         0.992	  3.650e-002 	             	
         1.048	             	  1.023e+000 	
         1.056	  3.650e-002 	             	
         1.112	             	  1.023e+000 	
         1.120	  3.640e-002 	             	
         1.176	             	  1.023e+000 	
         1.184	  3.640e-002 	             	
         1.248	  3.640e-002 	             	
         1.272	             	  1.023e+000 	
         1.312	  3.640e-002 	             	
         1.336	             	  1.023e+000 	
         1.400	             	  1.023e+000 	
         1.408	  3.640e-002 	             	
         1.464	             	  1.022e+000 	
         1.472	  3.650e-002 	             	
         1.528	             	  1.022e+000 	
         1.536	  3.650e-002 	             	
         1.592	             	  1.022e+000 	
         1.600	  3.640e-002 	             	
         1.656	             	  1.022e+000 	
         1.664	  3.650e-002 	             	
         1.720	             	  1.022e+000 	
         1.728	  3.660e-002 	             	
         1.784	             	  1.022e+000 	
         1.792	  3.650e-002 	             	
         1.848	             	  1.022e+000 	
         1.856	  3.660e-002 	             	
         1.912	             	  1.022e+000 	
         1.920	  3.680e-002 	             	
         1.976	             	  1.022e+000 	
         1.984	  3.680e-002 	             	
         2.048	  3.650e-002 	             	
         2.072	             	  1.022e+000 	
         2.112	  3.660e-002 	             	
         2.136	             	  1.023e+000 	
         2.200	             	  1.023e+000 	
         2.208	  3.670e-002 	             	
         2.264	             	  1.023e+000 	
         2.272	  3.660e-002 	             	
         2.328	             	  1.023e+000 	
         2.336	  3.650e-002 	             	
         2.392	             	  1.023e+000 	
         2.400	  3.660e-002 	             	
         2.456	             	  1.023e+000 	
         2.464	  3.650e-002 	             	
         2.520	             	  1.023e+000 	
         2.528	  3.650e-002 	             	
         2.584	             	  1.023e+000 	
         2.592	  3.650e-002 	             	
         2.648	             	  1.023e+000 	
         2.656	  3.640e-002 	             	
         2.712	             	  1.022e+000 	
         2.720	  3.660e-002 	             	
         2.776	             	  1.022e+000 	
         2.784	  3.650e-002 	             	
         2.848	  3.660e-002 	             	
         2.872	             	  1.023e+000 	
         2.912	  3.660e-002 	             	
         2.936	             	  1.023e+000 	
         3.000	             	  1.023e+000 	
         3.008	  3.650e-002 	             	
         3.064	             	  1.023e+000 	
         3.071	  3.640e-002 	             	
         3.128	             	  1.023e+000 	
         3.136	  3.640e-002 	             	
         3.192	             	  1.023e+000 	
         3.199	  3.660e-002 	             	
         3.256	             	  1.023e+000 	
         3.264	  3.650e-002 	             	
         3.320	             	  1.023e+000 	
         3.328	  3.650e-002 	             	
         3.384	             	  1.023e+000 	
         3.391	  3.650e-002 	             	
         3.448	             	  1.022e+000 	
         3.456	  3.660e-002 	             	
         3.512	             	  1.023e+000 	
         3.520	  3.650e-002 	             	
         3.576	             	  1.023e+000 	
         3.584	  3.660e-002 	             	
         3.648	  3.650e-002 	             	
         3.672	             	  1.023e+000 	
         3.712	  3.640e-002 	             	
         3.736	             	  1.023e+000 	
         3.800	             	  1.023e+000 	
         3.807	  3.640e-002 	             	
         3.864	             	  1.023e+000 	
         3.872	  3.660e-002 	             	
         3.928	             	  1.023e+000 	
         3.935	  3.650e-002 	             	
         3.992	             	  1.023e+000 	
         3.999	  3.640e-002 	             	
         4.056	             	  1.023e+000 	
         4.063	  3.650e-002 	             	
         4.120	             	  1.023e+000 	
         4.127	  3.650e-002 	             	
         4.184	             	  1.023e+000 	
         4.192	  3.640e-002 	             	
         4.248	             	  1.023e+000 	
         4.255	  3.650e-002 	             	
         4.312	             	  1.023e+000 	
         4.319	  3.650e-002 	             	
         4.376	             	  1.023e+000 	
         4.383	  3.630e-002 	             	
         4.447	  3.650e-002 	             	
         4.472	             	  1.023e+000 	
         4.511	  3.650e-002 	             	
         4.536	             	  1.023e+000 	
         4.600	             	  1.022e+000 	
         4.607	  3.650e-002 	             	
         4.664	             	  1.023e+000 	
         4.671	  3.640e-002 	             	
         4.728	             	  1.023e+000 	
         4.735	  3.630e-002 	             	
         4.792	             	  1.023e+000 	
         4.799	  3.660e-002 	             	
         4.856	             	  1.023e+000 	
         4.863	  3.640e-002 	             	
         4.920	             	  1.023e+000 	
         4.927	  3.640e-002 	             	
         4.984	             	  1.023e+000 	
         4.991	  3.620e-002 	             	
         5.048	             	  1.023e+000 	
         5.055	  3.640e-002 	             	
         5.112	             	  1.022e+000 	
         5.119	  3.660e-002 	             	
         5.176	             	  1.022e+000 	
         5.183	  3.630e-002 	             	
         5.247	  3.650e-002 	             	
         5.272	             	  1.022e+000 	
         5.312	  3.630e-002 	             	
         5.336	             	  1.022e+000 	
         5.400	             	  1.022e+000 	
         5.407	  3.620e-002 	             	
         5.464	             	  1.022e+000 	
         5.471	  3.640e-002 	             	
         5.528	             	  1.022e+000 	
         5.535	  3.650e-002 	             	
         5.592	             	  1.022e+000 	
         5.599	  3.660e-002 	             	
         5.656	             	  1.022e+000 	
         5.663	  3.660e-002 	             	
         5.720	             	  1.022e+000 	
         5.727	  3.650e-002 	             	
         5.784	             	  1.023e+000 	
         5.791	  3.650e-002 	             	
         5.848	             	  1.023e+000 	
         5.855	  3.640e-002 	             	
         5.912	             	  1.023e+000 	
         5.919	  3.640e-002 	             	
         5.976	             	  1.023e+000 	
         5.983	  3.650e-002 	             	
         6.047	  3.630e-002 	             	
         6.072	             	  1.023e+000 	
         6.111	  3.640e-002 	             	
         6.136	             	  1.023e+000 	
         6.200	             	  1.023e+000 	
         6.207	  3.640e-002 	             	
         6.264	             	  1.023e+000 	
         6.271	  3.640e-002 	             	
         6.328	             	  1.023e+000 	
         6.335	  3.660e-002 	             	
         6.392	             	  1.023e+000 	
         6.399	  3.670e-002 	             	
         6.456	             	  1.023e+000 	
         6.463	  3.660e-002 	             	
         6.520	             	  1.022e+000 	
         6.527	  3.650e-002 	             	
         6.584	             	  1.022e+000 	
         6.591	  3.660e-002 	             	
         6.648	             	  1.022e+000 	
         6.655	  3.670e-002 	             	
         6.712	             	  1.022e+000 	
         6.719	  3.670e-002 	             	
         6.776	             	  1.022e+000 	
         6.783	  3.650e-002 	             	
         6.840	             	  1.022e+000 	
         6.847	  3.660e-002 	             	
         6.911	  3.660e-002 	             	
         6.936	             	  1.022e+000 	
         7.000	             	  1.022e+000 	
         7.007	  3.650e-002 	             	
         7.064	             	  1.022e+000 	
         7.071	  3.670e-002 	             	
         7.128	             	  1.022e+000 	
         7.135	  3.660e-002 	             	
         7.192	             	  1.022e+000 	
         7.199	  3.660e-002 	             	
         7.256	             	  1.022e+000 	
         7.263	  3.670e-002 	             	
         7.320	             	  1.023e+000 	
         7.327	  3.660e-002 	             	
         7.384	             	  1.023e+000 	
         7.391	  3.670e-002 	             	
         7.448	             	  1.022e+000 	
         7.455	  3.680e-002 	             	
         7.512	             	  1.022e+000 	
         7.519	  3.680e-002 	             	
         7.576	             	  1.022e+000 	
         7.583	  3.660e-002 	             	
         7.640	             	  1.022e+000 	
         7.647	  3.660e-002 	             	
         7.711	  3.670e-002 	             	
         7.736	             	  1.022e+000 	
         7.800	             	  1.022e+000 	
         7.807	  3.660e-002 	             	
         7.864	             	  1.022e+000 	
         7.871	  3.670e-002 	             	
         7.928	             	  1.022e+000 	
         7.935	  3.670e-002 	             	
         7.992	             	  1.022e+000 	
         7.999	  3.660e-002 	             	
         8.056	             	  1.022e+000 	
         8.063	  3.670e-002 	             	
         8.120	             	  1.023e+000 	
         8.127	  3.670e-002 	             	
         8.184	             	  1.023e+000 	
         8.191	  3.670e-002 	             	
         8.248	             	  1.023e+000 	
         8.255	  3.680e-002 	             	
         8.312	             	  1.023e+000 	
         8.319	  3.660e-002 	             	
         8.376	             	  1.023e+000 	
         8.383	  3.660e-002 	             	
         8.440	             	  1.023e+000 	
         8.447	  3.660e-002 	             	
         8.511	  3.660e-002 	             	
         8.536	             	  1.023e+000 	
         8.600	             	  1.023e+000 	
         8.607	  3.660e-002 	             	
         8.664	             	  1.023e+000 	
         8.671	  3.660e-002 	             	
         8.728	             	  1.023e+000 	
         8.735	  3.660e-002 	             	
         8.792	             	  1.023e+000 	
         8.799	  3.660e-002 	             	
         8.856	             	  1.023e+000 	
         8.863	  3.660e-002 	             	
         8.920	             	  1.023e+000 	
         8.927	  3.660e-002 	             	
         8.984	             	  1.022e+000 	
         8.991	  3.670e-002 	             	
         9.048	             	  1.022e+000 	
         9.055	  3.670e-002 	             	
         9.112	             	  1.023e+000 	
         9.119	  3.660e-002 	             	
         9.176	             	  1.023e+000 	
         9.183	  3.660e-002 	             	
         9.240	             	  1.023e+000 	
         9.247	  3.660e-002 	             	
         9.311	  3.650e-002 	             	
         9.336	             	  1.023e+000 	
         9.400	             	  1.023e+000 	
         9.407	  3.650e-002 	             	
         9.464	             	  1.023e+000 	
         9.471	  3.650e-002 	             	
         9.528	             	  1.023e+000 	
         9.535	  3.650e-002 	             	
         9.592	             	  1.022e+000 	
         9.599	  3.650e-002 	             	
         9.656	             	  1.022e+000 	
         9.663	  3.660e-002 	             	
         9.720	             	  1.022e+000 	
         9.727	  3.660e-002 	             	
         9.784	             	  1.022e+000 	
         9.791	  3.660e-002 	             	
         9.848	             	  1.023e+000 	
         9.855	  3.660e-002 	             	
         9.912	             	  1.023e+000 	
         9.919	  3.670e-002 	             	
         9.976	             	  1.023e+000 	
         9.983	  3.680e-002 	             	
        10.040	             	  1.023e+000 	
        10.047	  3.660e-002 	             	
        10.111	  3.650e-002 	             	
        10.136	             	  1.023e+000 	
        10.200	             	  1.022e+000 	
        10.207	  3.650e-002 	             	
        10.264	             	  1.022e+000 	
        10.271	  3.650e-002 	             	
        10.328	             	  1.022e+000 	
        10.335	  3.620e-002 	             	
        10.392	             	  1.022e+000 	
        10.399	  3.640e-002 	             	
        10.456	             	  1.022e+000 	
        10.463	  3.630e-002 	             	
        10.520	             	  1.022e+000 	
        10.527	  3.630e-002 	             	
        10.584	             	  1.022e+000 	
        10.591	  3.640e-002 	             	
        10.648	             	  1.022e+000 	
        10.655	  3.650e-002 	             	
        10.712	             	  1.022e+000 	
        10.719	  3.650e-002 	             	
        10.776	             	  1.022e+000 	
        10.783	  3.640e-002 	             	
        10.840	             	  1.022e+000 	
        10.847	  3.640e-002 	             	
        10.911	  3.640e-002 	             	
        10.936	             	  1.022e+000 	
